,nonnewsurl,blackrule
176,https://assets.axios.com/203e9f932cc97836ac2ff4c6c982676c.png,^.*.png.*$
166,https://static.axios.com/img/axios-site/favicon-32x32.png,^.*.png.*$
114,https://www.axios.com/podcast-opioids-pandemic-lawsuits-1ccd0764-6cc2-42e3-b3c6-970560697a86.html,^.*podcast.*$
188,https://www.axios.com/podcast-opioids-pandemic-lawsuits-1ccd0764-6cc2-42e3-b3c6-970560697a86.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,^.*podcast.*$
57,https://www.axios.com/podcasts,^.*podcast.*$
0,#maincontent,diff domain
117,https://about.usps.com/newsroom/national-releases/2020/0818-postmaster-general-louis-dejoy-statement.htm,diff domain
165,https://cdn.ampproject.org/v0.js,diff domain
85,https://coronavirus.jhu.edu/map.html,diff domain
95,https://m.youtube.com/watch?v=t3JnRq0fUVo,diff domain
109,https://news.nd.edu/news/notre-dame-enacts-two-weeks-of-remote-instruction/,diff domain
139,https://news.yahoo.com/fbi-documents-conspiracy-theories-terrorism-160000507.html,diff domain
155,https://twitter.com/SawyerHackett/status/1295433510933626885,diff domain
157,https://twitter.com/briebriejoy/status/1293618745907322880,diff domain
156,https://twitter.com/julito77/status/1295427432871329793,diff domain
96,https://twitter.com/kylegriffin1/status/1295863157018198016?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Etweet,diff domain
98,https://web.archive.org/web/20080403153628/http://men.style.com/gq/blogs/gqeditors/2008/03/caps-font-var-1.html,diff domain
132,https://www.bloomberg.com/news/articles/2020-08-12/russia-ditches-the-dollar-for-bulk-of-its-exports-to-china,diff domain
113,https://www.intelligence.senate.gov/sites/default/files/documents/report_volume5.pdf,diff domain
159,https://www.nbcnews.com/politics/meet-the-press/poll-more-voters-acknowledge-symptoms-racism-disagree-about-its-causes-n1234363,diff domain
144,https://www.newswhip.com/,diff domain
141,https://www.nytimes.com/2020/08/04/opinion/qanon-conspiracy-theory-arg.html,diff domain
97,https://www.youtube.com/watch?v=Dy2geGCO3gY,diff domain
200,https://www.youtube.com/watch?v=oYZvj7uUsgw&amp;feature=youtu.be,diff domain
148,https://www.youtube.com/watch?v=oYZvj7uUsgw&feature=youtu.be,diff domain
168,https://images.axios.com,not in formula RIP
135,https://link.axios.com/click/21237027.395459/aHR0cHM6Ly93d3cubmJjbmV3cy5jb20vcG9saXRpY3MvbWVldC10aGUtcHJlc3MvYmlkZW4tcmVtYWlucy1haGVhZC10cnVtcC1uYXRpb25hbGx5LWV2ZS1jb252ZW50aW9ucy1uYmMtbmV3cy13c2otbjEyMzY4NzM_dXRtX3NvdXJjZT1uZXdzbGV0dGVyJnV0bV9tZWRpdW09ZW1haWwmdXRtX2NhbXBhaWduPW5ld3NsZXR0ZXJfYXhpb3NhbSZzdHJlYW09dG9w/5d8a19e2fbd297461c3ce0b1B5ac484f1,not in formula RIP
133,https://link.axios.com/click/21237949.35074/aHR0cHM6Ly93d3cuYmxvb21iZXJnLmNvbS9uZXdzL2FydGljbGVzLzIwMjAtMDgtMTIvcnVzc2lhLWRpdGNoZXMtdGhlLWRvbGxhci1mb3ItYnVsay1vZi1pdHMtZXhwb3J0cy10by1jaGluYT91dG1fc291cmNlPW5ld3NsZXR0ZXImdXRtX21lZGl1bT1lbWFpbCZ1dG1fY2FtcGFpZ249bmV3c2xldHRlcl9heGlvc21hcmtldHMmc3RyZWFtPWJ1c2luZXNz/5cee9cc47e55544e860fbf4eCbff46120,not in formula RIP
167,https://static.axios.com,not in formula RIP
172,https://static.axios.com/fonts/axios-site/atiza/atizatext-bold-webfont.woff2,not in formula RIP
173,https://static.axios.com/fonts/axios-site/atiza/atizatext-regular-webfont.woff2,not in formula RIP
174,https://static.axios.com/fonts/axios-site/atiza/atizatext-regularitalic-webfont.woff2,not in formula RIP
170,https://static.axios.com/fonts/axios-site/nb_international_pro_book.woff2,not in formula RIP
171,https://static.axios.com/fonts/axios-site/nb_international_pro_light.woff2,not in formula RIP
169,https://static.axios.com/fonts/axios-site/nb_international_pro_regular.woff2,not in formula RIP
175,https://www.axios.com,not in formula RIP
1,https://www.axios.com/,not in formula RIP
76,https://www.axios.com/2020-attention-tracker-library-3c8f61f3-a64c-4473-ac32-3ea76d525770.html,not in formula RIP
77,https://www.axios.com/2020-election-candidates-social-media-63fd3617-3d17-4790-8180-b35bc7aca51f.html,not in formula RIP
48,https://www.axios.com/about,not in formula RIP
49,https://www.axios.com/advertise,not in formula RIP
89,https://www.axios.com/americas-coronavirus-response-people-of-color-c0768d8b-436e-411f-a003-686954a9af0c.html,not in formula RIP
59,https://www.axios.com/aoc-speech-joe-biden-democratic-national-convention-038e414e-1347-461a-a3d2-c6ac6884bcf0.html,not in formula RIP
56,https://www.axios.com/app,not in formula RIP
94,https://www.axios.com/authors/Alexi_McCammond,not in formula RIP
123,https://www.axios.com/authors/Barak_Ravid,not in formula RIP
111,https://www.axios.com/authors/atreene,not in formula RIP
120,https://www.axios.com/authors/baebrahimian,not in formula RIP
152,https://www.axios.com/authors/baker,not in formula RIP
118,https://www.axios.com/authors/cbrown,not in formula RIP
92,https://www.axios.com/authors/dlawle01,not in formula RIP
129,https://www.axios.com/authors/drabouin,not in formula RIP
103,https://www.axios.com/authors/epandey,not in formula RIP
115,https://www.axios.com/authors/hnichols,not in formula RIP
162,https://www.axios.com/authors/jknutson,not in formula RIP
145,https://www.axios.com/authors/jonathanswan,not in formula RIP
126,https://www.axios.com/authors/kbaker,not in formula RIP
136,https://www.axios.com/authors/kdaly,not in formula RIP
149,https://www.axios.com/authors/miriam,not in formula RIP
134,https://www.axios.com/authors/mtalev,not in formula RIP
142,https://www.axios.com/authors/neal,not in formula RIP
78,https://www.axios.com/authors/newsdesk,not in formula RIP
116,https://www.axios.com/authors/orionrummler,not in formula RIP
108,https://www.axios.com/authors/rayesh,not in formula RIP
143,https://www.axios.com/authors/sara,not in formula RIP
101,https://www.axios.com/authors/uperano,not in formula RIP
110,https://www.axios.com/authors/zbasu,not in formula RIP
153,https://www.axios.com/axios-ipsos-coronavirus-index-in-person-campaigning-50124c22-1163-4a6e-b45a-af1acc7ca337.html,not in formula RIP
203,https://www.axios.com/axios-ipsos-coronavirus-index-in-person-campaigning-50124c22-1163-4a6e-b45a-af1acc7ca337.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
161,https://www.axios.com/bernie-sanders-joe-biden-democratic-convention-03504440-978a-4b15-9000-0212585f08e6.html,not in formula RIP
207,https://www.axios.com/bernie-sanders-joe-biden-democratic-convention-03504440-978a-4b15-9000-0212585f08e6.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
84,https://www.axios.com/beto-orourke-biden-trump-texas-296f6c1f-ac5e-4791-91c7-d14c08660a44.html,not in formula RIP
107,https://www.axios.com/biden-fundraiser-series-tom-hanks-7641d7b6-4cdd-42b9-8cd9-f983f58c4098.html,not in formula RIP
185,https://www.axios.com/biden-fundraiser-series-tom-hanks-7641d7b6-4cdd-42b9-8cd9-f983f58c4098.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
60,https://www.axios.com/biden-nomination-security-guard-new-york-times-384aee8f-47ee-4165-a907-a47741bcd5e7.html,not in formula RIP
83,https://www.axios.com/bill-clinton-dnc-speech-4c34ae9c-836c-4111-b601-91f5139d7ce3.html,not in formula RIP
189,https://www.axios.com/bill-clinton-dnc-speech-4c34ae9c-836c-4111-b601-91f5139d7ce3.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
62,https://www.axios.com/bill-clinton-joe-biden-democratic-convention-294fca74-f2db-4362-a634-e9a017863be5.html,not in formula RIP
69,https://www.axios.com/california-newsom-emergency-wildfires-9ff7d630-e06d-4190-a541-853b733b5152.html,not in formula RIP
50,https://www.axios.com/careers,not in formula RIP
71,https://www.axios.com/cdc-lifts-travel-warning-bermuda-testing-coronavirus-dd09cb47-5bff-4ebe-a932-0d359ca053a3.html,not in formula RIP
158,https://www.axios.com/chad-wolf-systemic-racism-police-965d5a1b-7be6-4d78-8cc5-fc82641a7f8c.html,not in formula RIP
205,https://www.axios.com/chad-wolf-systemic-racism-police-965d5a1b-7be6-4d78-8cc5-fc82641a7f8c.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
72,https://www.axios.com/cindy-john-mccain-joe-biden-convention-8c724216-dae5-4925-9273-cb9f986287ec.html,not in formula RIP
181,https://www.axios.com/cindy-john-mccain-joe-biden-convention-8c724216-dae5-4925-9273-cb9f986287ec.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
70,https://www.axios.com/colin-powell-endorse-biden-2020-c2e12496-242f-4b87-b3bf-2f5d925ccac5.html,not in formula RIP
180,https://www.axios.com/colin-powell-endorse-biden-2020-c2e12496-242f-4b87-b3bf-2f5d925ccac5.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
55,https://www.axios.com/contact,not in formula RIP
68,https://www.axios.com/coronavirus-latest-developments-8b8990c4-6762-494a-8ee0-5091746bda9b.html,not in formula RIP
64,https://www.axios.com/coronavirus-latest-news-quick-highlights-57a186a3-7547-45bf-852a-83019849d8d5.html,not in formula RIP
178,https://www.axios.com/coronavirus-latest-news-quick-highlights-57a186a3-7547-45bf-852a-83019849d8d5.html?utm_campaign=organic&amp;utm_medium=socialshare&amp;utm_source=facebook,not in formula RIP
