,newsurl,newsrule
22,https://www.currentaffairs.org/2019/11/in-defense-of-hellfire,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
21,https://www.currentaffairs.org/2019/12/doing-their-jobs,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
20,https://www.currentaffairs.org/2019/12/somebodys-baby,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
18,https://www.currentaffairs.org/2020/04/should-we-just-open-the-borders,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
19,https://www.currentaffairs.org/2020/04/the-deep-roots-of-greeces-asylum-catastrophe,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
6,https://www.currentaffairs.org/2020/05/ilhan-omar-on-war-arms-sales-to-israel-margaret-thatcher-and-prince,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
9,https://www.currentaffairs.org/2020/05/leftist-aesthetics-roundtable,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
17,https://www.currentaffairs.org/2020/05/the-refugee-meritocracy,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
5,https://www.currentaffairs.org/2020/06/rhiana-gunn-wright-on-insurgent-left-policy-making,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
13,https://www.currentaffairs.org/2020/06/self-congratulatory-hollywood-mix-n-match,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
8,https://www.currentaffairs.org/2020/06/the-replace-bad-things-with-good-things-roundtable,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
12,https://www.currentaffairs.org/2020/06/welcome-to-pinkertown,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
14,https://www.currentaffairs.org/2020/07/a-quick-guide-to-what-is-going-on-with-the-economy,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
10,https://www.currentaffairs.org/2020/07/build-your-own-all-purpose-bidenism,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
11,https://www.currentaffairs.org/2020/07/hamilton-movie-livedraw,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
4,https://www.currentaffairs.org/2020/07/interview-keeanga-yamahtta-taylor-on-why-racism-is-profitable,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
15,https://www.currentaffairs.org/2020/07/nationalize-all-the-nice-places,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
7,https://www.currentaffairs.org/2020/07/the-fresh-hot-takes-on-canada-roundtable,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
34,https://www.currentaffairs.org/2020/07/the-nba-returns-like-a-mournful-fart,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
35,https://www.currentaffairs.org/2020/07/they-will-kill-the-post-office-if-they-can-get-away-with-it,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
16,https://www.currentaffairs.org/2020/07/what-to-do-once-weve-defunded-the-police,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
33,https://www.currentaffairs.org/2020/07/you-deserve-to-be-protected-at-work,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
31,https://www.currentaffairs.org/2020/08/a-youth-climate-movement-rises-in-northern-new-mexico,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
1,https://www.currentaffairs.org/2020/08/an-ineffectual-biden-presidency-is-better-for-the-left-than-an-actively-authoritarian-trump-presidency,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
23,https://www.currentaffairs.org/2020/08/can-hierarchy-be-justified,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
27,https://www.currentaffairs.org/2020/08/coronavirus-and-socialism,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
25,https://www.currentaffairs.org/2020/08/is-socialism-evil,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
30,https://www.currentaffairs.org/2020/08/movement-in-palestine,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
24,https://www.currentaffairs.org/2020/08/mythic-quest-and-the-pursuit-of-anti-capitalist-media,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
2,https://www.currentaffairs.org/2020/08/on-casting-out-fear,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
3,https://www.currentaffairs.org/2020/08/our-money-where-our-mouth-is,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
0,https://www.currentaffairs.org/2020/08/sometimes-the-chicken-kills-you-though,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
28,https://www.currentaffairs.org/2020/08/the-path-to-a-progressive-america-runs-through-the-cities,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
29,https://www.currentaffairs.org/2020/08/the-patterns-of-florida,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
