,newsurl,newsrule
0,https://www.dailymail.co.uk/news/2020-election/index.html,"^.*\/news\/[0-9a-z-]{12,}\/"
168,https://www.dailymail.co.uk/news/article-8628909/Michelle-Obama-gives-Biden-blessing-11-75-million-Marthas-Vineyard-home.html,"^.*\/news\/[0-9a-z-]{12,}\/"
245,https://www.dailymail.co.uk/news/article-8630149/Prince-Harry-Meghan-Markle-phoned-fan-linked-Twitter-TROLL.html,"^.*\/news\/[0-9a-z-]{12,}\/"
247,https://www.dailymail.co.uk/news/article-8630883/Prince-Harry-Meghan-Markle-squandered-tremendous-chance-good-royals.html,"^.*\/news\/[0-9a-z-]{12,}\/"
244,https://www.dailymail.co.uk/news/article-8631061/Taylor-Swift-launches-excoriating-attack-Trump-USPS-funding.html,"^.*\/news\/[0-9a-z-]{12,}\/"
248,https://www.dailymail.co.uk/news/article-8631111/Jimi-Hendrixs-father-never-showed-love-dead-reveals-biographer-PHILIP-NORMAN.html,"^.*\/news\/[0-9a-z-]{12,}\/"
249,https://www.dailymail.co.uk/news/article-8631193/We-forever-grateful-Prince-William-address-Britain-TV-tribute-honouring-veterans-VJ-Day.html,"^.*\/news\/[0-9a-z-]{12,}\/"
241,https://www.dailymail.co.uk/news/article-8631401/Ewan-McGregor-ordered-hand-half-Star-Wars-fortune-5million-family-home-ex-wife.html,"^.*\/news\/[0-9a-z-]{12,}\/"
242,https://www.dailymail.co.uk/news/article-8631423/Ashton-Kutcher-calls-President-Trump-huge-hurricane-force-derecho.html,"^.*\/news\/[0-9a-z-]{12,}\/"
246,https://www.dailymail.co.uk/news/article-8631425/Royal-family-releases-throwback-snap-Prince-Philip-1945-mark-75-years-VJ-Day.html,"^.*\/news\/[0-9a-z-]{12,}\/"
243,https://www.dailymail.co.uk/news/article-8631465/Animated-series-Owl-House-makes-history-Disneys-bisexual-lead-character.html,"^.*\/news\/[0-9a-z-]{12,}\/"
239,https://www.dailymail.co.uk/news/article-8632147/Former-camera-assistant-Ellen-compares-work-environment-Devil-Wears-Prada.html,"^.*\/news\/[0-9a-z-]{12,}\/"
240,https://www.dailymail.co.uk/news/article-8633331/LeBron-James-gave-passionate-farewell-speech-Space-Jam-2-cast-2019.html,"^.*\/news\/[0-9a-z-]{12,}\/"
177,https://www.dailymail.co.uk/news/article-8633665/Princes-Harry-William-didnt-speak-two-months-Megxit-row-says-Omid-Scobie.html,"^.*\/news\/[0-9a-z-]{12,}\/"
176,https://www.dailymail.co.uk/news/article-8634033/Melania-Barron-seen-Trump-time-pandemic-began.html,"^.*\/news\/[0-9a-z-]{12,}\/"
175,https://www.dailymail.co.uk/news/article-8634289/Robin-Williams-former-home-cut-asking-price-5-995-million-7-25-million.html,"^.*\/news\/[0-9a-z-]{12,}\/"
169,https://www.dailymail.co.uk/news/article-8634703/Prince-Harry-exchanged-strong-words-Queen-one-key-aides.html,"^.*\/news\/[0-9a-z-]{12,}\/"
166,https://www.dailymail.co.uk/news/article-8635281/Jill-Biden-cheated-husband-Joe-ex-claims.html,"^.*\/news\/[0-9a-z-]{12,}\/"
187,https://www.dailymail.co.uk/news/article-8635349/Party-official-FBI-arrests-Puerto-Rico-legislator-3-others.html,"^.*\/news\/[0-9a-z-]{12,}\/"
188,https://www.dailymail.co.uk/news/article-8635349/Party-official-FBI-arrests-Puerto-Rico-legislator-3-others.html#comments,"^.*\/news\/[0-9a-z-]{12,}\/"
189,https://www.dailymail.co.uk/news/article-8635349/Party-official-FBI-arrests-Puerto-Rico-legislator-3-others.html#video,"^.*\/news\/[0-9a-z-]{12,}\/"
156,https://www.dailymail.co.uk/news/article-8635457/Bear-hug-Adorable-cubs-cuddle-mom-clamber-play-Alaska.html,"^.*\/news\/[0-9a-z-]{12,}\/"
165,https://www.dailymail.co.uk/news/article-8635723/Melania-repeatedly-refuses-hold-Trumps-hand-frosty-exchange-arrive-DC.html,"^.*\/news\/[0-9a-z-]{12,}\/"
172,https://www.dailymail.co.uk/news/article-8635899/Urban-explorers-sneak-inside-crumbling-Scottish-mansion-Coco-Chanels-home.html,"^.*\/news\/[0-9a-z-]{12,}\/"
178,https://www.dailymail.co.uk/news/article-8635901/Donald-Trump-says-service-dead-brother-Robert-White-House.html,"^.*\/news\/[0-9a-z-]{12,}\/"
163,https://www.dailymail.co.uk/news/article-8636075/Review-Prosecutor-office-abused-discretion-Smollett-case.html,"^.*\/news\/[0-9a-z-]{12,}\/"
174,https://www.dailymail.co.uk/news/article-8636297/Tom-Brady-begins-padded-practices-new-Bucs-teammates.html,"^.*\/news\/[0-9a-z-]{12,}\/"
173,https://www.dailymail.co.uk/news/article-8636319/2-men-indicted-2002-killing-Run-DMCs-Jam-Master-Jay.html,"^.*\/news\/[0-9a-z-]{12,}\/"
171,https://www.dailymail.co.uk/news/article-8636673/Prosecutors-urge-judge-uphold-plea-deal-sentence-Lori-Loughlin-husband-jail-time.html,"^.*\/news\/[0-9a-z-]{12,}\/"
164,https://www.dailymail.co.uk/news/article-8636967/Prince-Harry-did-NOT-shout-hell-Queen-Tiaragate-row-sources-insist.html,"^.*\/news\/[0-9a-z-]{12,}\/"
