,newsurl,newsrule
32,https://dw-site-staging.dailywire.com/news/linda-sarsour-takes-credit-houses-weakened-anti-kassy-dillon,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
29,https://dw-site-staging.dailywire.com/news/rashida-tlaib-defends-latest-womens-march-board-emily-zanotti,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
30,https://dw-site-staging.dailywire.com/news/watch-linda-sarsour-stumps-bernie-sanders-elect-molly-prince,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
31,https://dw-site-staging.dailywire.com/news/womens-march-leader-linda-sarsour-says-shes-emily-zanotti,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.dailywire.com/episode/ep-1076-the-anybody-but-trump-convention-2,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.dailywire.com/episode/ep-545-it-s-officially-time-to-label-blm-a-domestic-terror-group-22,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.dailywire.com/episode/ep-945-democrats-are-now-officially-lame-2,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.dailywire.com/news/a-star-is-born-gop-candidates-ad-trounces-michelle-obama-dnc-speech-in-digital-metrics,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.dailywire.com/news/absolutely-our-party-democrats-embrace-linda-sarsour-at-national-convention,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
45,https://www.dailywire.com/news/ag-barr-on-mail-in-voting-people-pushing-it-are-grossly-irresponsible-media-used-to-oppose-it,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
44,https://www.dailywire.com/news/americas-chief-law-enforcement-officer-democrats-grossly-irresponsible-to-push-mail-in-voting-its-reckless-and-wrong,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
43,https://www.dailywire.com/news/attorney-general-william-barr-mail-in-voting-absolutely-opens-the-floodgates-to-fraud,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
40,https://www.dailywire.com/news/biden-names-the-woman-he-says-will-be-my-last-heartbeat-away-from-the-presidency-satire,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.dailywire.com/news/bidens-decline-why-we-must-question-mental-fitness,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.dailywire.com/news/black-lives-dont-matter-to-democrats-gop-candidate-releases-viral-ad-crushing-dems,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.dailywire.com/news/breaking-down-the-most-common-face-coverings-thought-to-protect-us-from-covid-19,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://www.dailywire.com/news/breaking-elizabeth-warren-claimed-american-indian-ryan-saavedra,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.dailywire.com/news/c-s-lewis-on-social-engineering-the-leftist-effort-to-reprogram-your-mind,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.dailywire.com/news/c-s-lewis-tyranny-for-your-own-good,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
33,https://www.dailywire.com/news/christie-nukes-kasich-backstabber-untruthful-exhausting-biden-will-need-new-phone-number,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
34,https://www.dailywire.com/news/dems-voter-frauds-myth-ohio-we-just-found-hundreds-james-barrett,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.dailywire.com/news/difference-between-absentee-and-universal-mail-in-voting,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.dailywire.com/news/dnc-cindy-mccain-to-promote-john-mccain-and-joe-bidens-unlikely-friendship,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
27,https://www.dailywire.com/news/elizabeth-warren-apologizes-cherokee-nation-taking-kassy-dillon,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.dailywire.com/news/enough-its-time-to-send-military,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.dailywire.com/news/goodyear-tires-policy-slideshow-deems-leftist-activism-acceptable-conservative-activism-unacceptable-report-says,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
46,https://www.dailywire.com/news/haworth-biden-kamala-ignore-obama-biden-administrations-own-findings,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.dailywire.com/news/haworth-moments-in-obamas-presidency-that-fueled-racial-tensions,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.dailywire.com/news/how-effective-is-mask-wearing-heres-what-the-science-suggests,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.dailywire.com/news/how-ellen-degeneress-public-image-collapsed,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
42,https://www.dailywire.com/news/is-herd-immunity-an-effective-strategy-latest-studies,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
35,https://www.dailywire.com/news/khan-5-radical-goals-of-the-black-lives-matter-organization-the-media-ignores,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.dailywire.com/news/khan-hypocrisy-on-china-haunts-nbas-woke-restart,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.dailywire.com/news/klavan-a-corrupt-press-supports-a-corrupt-harris,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
48,https://www.dailywire.com/news/klavan-the-politics-of-c-s-lewis,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.dailywire.com/news/man-who-brutally-assaulted-macys-employee-in-viral-video-may-get-probation,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://www.dailywire.com/news/michelle-obama-children-are-torn-from-their-families-and-thrown-into-cages-her-husband-built-the-cages,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
28,https://www.dailywire.com/news/more-than-two-hundred-native-americans-sign-letter-demanding-elizabeth-warren-clarify-comments-about-cherokee-heritage,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
39,https://www.dailywire.com/news/national-media-refuse-to-cover-murder-of-5-year-old-because-it-doesnt-fit-their-racial-narrative,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.dailywire.com/news/not-kidding-warren-speaks-at-native-american-caucus-meeting-for-dnc,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.dailywire.com/news/nyt-study-every-time-a-rioter-vandalizes-a-statue-an-underprivileged-child-gets-an-education,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
38,https://www.dailywire.com/news/portland-rioters-viciously-beat-man-transported-to-hospital-with-serious-injuries,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
37,https://www.dailywire.com/news/report-espn-suspends-nba-reporter-after-f-you-email-to-josh-hawley-hawley-has-another-idea,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
47,https://www.dailywire.com/news/sabo-strikes-again-street-artist-trolls-hollywood-paul-bois,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
41,https://www.dailywire.com/news/swedens-top-epidemiologist-says-we-see-no-point-in-wearing-masks-as-covid-19-cases-drop,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.dailywire.com/news/tedesco-cancel-culture-is-killing-america-heres-how-we-stop-it,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.dailywire.com/news/toto-spencer-klavan-takes-a-stand-against-woke-academia,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.dailywire.com/news/trump-us-postal-service-conspiracy-theories,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
36,https://www.dailywire.com/news/walsh-the-confused-and-pointless-rage-of-an-entitled-generation,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
