,newsurl,newsrule
11,https://www.factcheck.org/2020/04/hospital-payments-and-the-covid-19-death-count/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
2,https://www.factcheck.org/2020/08/bidens-greatest-hits/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
1,https://www.factcheck.org/2020/08/democratic-convention-opening-night/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
9,https://www.factcheck.org/2020/08/dueling-trump-biden-claims-on-covid-19-vaccination-distribution/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
4,https://www.factcheck.org/2020/08/factchecking-sen-kamala-harris/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
5,https://www.factcheck.org/2020/08/factchecking-trumps-weekend-press-briefings/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
8,https://www.factcheck.org/2020/08/republican-group-selectively-edits-biden-tax-remark/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
6,https://www.factcheck.org/2020/08/trump-campaign-exaggerates-potential-for-mail-in-voting-fraud-after-election/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
3,https://www.factcheck.org/2020/08/trump-proves-biden-right-on-usps-funding-mail-in-ballots/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
7,https://www.factcheck.org/2020/08/trumps-missteps-on-covid-19-mortality/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
10,https://www.factcheck.org/2020/08/voting-by-mail-in-the-swing-states/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
0,https://www.factcheck.org/a-guide-to-our-coronavirus-coverage/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.factcheck.org/state-of-the-union-with-jake-tapper/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
