,newsurl,newsrule
7,https://freebeacon.com/2020-election/biden-and-harris-have-received-155-million-from-financial-sector/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://freebeacon.com/2020-election/biden-if-elected-plans-to-put-obamacare-on-steroids/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://freebeacon.com/2020-election/joe-biden-wants-a-green-new-deal/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://freebeacon.com/2020-election/kamala-harris-aggressive-woman/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://freebeacon.com/2020-election/kamala-harris-moderate-radical-media-decide/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://freebeacon.com/2020-election/kasich-well-have-to-see-whether-biden-gives-in-to-the-left/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://freebeacon.com/2020-election/michelle-obama-urges-in-person-voting-after-democrats-argued-it-posed-a-dire-threat/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://freebeacon.com/2020-election/pennsylvania-republican-invites-portlanders-to-his-district-to-escape-riots/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://freebeacon.com/2020-election/the-scattershot-convention/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://freebeacon.com/campus/michigan-college-will-digitally-track-students-movements-at-all-times/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://freebeacon.com/campus/professor-prohibits-students-from-criticizing-abortion-and-black-lives-matter/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://freebeacon.com/courts/legal-experts-skeptical-of-ny-ags-attempt-to-dissolve-nra/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://freebeacon.com/democrats/chicago-police-union-president-blames-mayor-for-spike-in-police-retirements/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://freebeacon.com/democrats/democrats-who-once-pilloried-postal-service-now-find-much-to-praise/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://freebeacon.com/democrats/flashback-bad-carter-page-takes-by-democrats/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://freebeacon.com/democrats/in-convention-speech-andrew-cuomo-refers-to-european-virus/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://freebeacon.com/democrats/media-kneels-before-riveting-michelle-obama/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
27,https://freebeacon.com/democrats/pelosi-schumer-dumped-police-from-remarks-after-george-floyd-protests/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://freebeacon.com/issues/ex-google-lobbyist-promotes-biden-at-dnc-as-tensions-mount-between-tech-giant-trump/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://freebeacon.com/latest-news/dem-donor-nbc-exec-loses-job-over-sexual-impropriety/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://freebeacon.com/latest-news/while-portland-police-responded-to-riot-more-than-60-calls-to-dispatchers-left-on-hold/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://freebeacon.com/media/dems-media-holler-racism-and-sexism-against-kamala-harris/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://freebeacon.com/national-security/doj-arrests-former-cia-officer-for-chinese-espionage/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://freebeacon.com/national-security/kim-jong-un-tells-elites-to-hand-over-pet-dogs/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://freebeacon.com/national-security/snowden-earned-1-2-million-from-speaking-events-in-exile/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://freebeacon.com/national-security/u-s-livid-with-european-allies-after-failed-vote-on-iran-arms-embargo/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://freebeacon.com/parody/bill-clinton-pedophile-massage/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://freebeacon.com/parody/joe-biden-boater-enthusiasm/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
