,newsurl,newsrule
35,https://www.jpost.com/american-politics/ashkenazi-not-aware-of-any-security-promises-made-to-uae-639057,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.jpost.com/american-politics/jewish-community-vocal-over-kamala-harriss-jewish-husband-638730,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
56,https://www.jpost.com/american-politics/jewish-democrats-hope-to-swing-key-states-in-the-presidential-election-639087,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
59,https://www.jpost.com/american-politics/trump-floats-idea-that-fraud-could-lead-to-re-do-of-november-election-639106,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
40,https://www.jpost.com/american-politics/trump-we-moved-the-capital-of-israel-to-jerusalem-for-the-evangelicals-639034,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.jpost.com/arab-israeli-conflict/five-countries-that-could-be-next-to-make-peace-with-israel-638821,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
66,https://www.jpost.com/arab-israeli-conflict/israeli-travel-agency-signs-deal-to-sell-packages-to-uaes-rixos-hotels-639059,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.jpost.com/arab-israeli-conflict/kuwaits-anti-israel-rhetoric-in-spotlight-after-uae-deal-639039,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.jpost.com/arab-israeli-conflict/netanyahu-to-south-mayors-these-acts-of-terror-wont-go-unpunished-639138,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
30,https://www.jpost.com/archaeology/from-16th-century-well-to-48-war-centuries-of-history-unveiled-in-safed-639081,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
29,https://www.jpost.com/archaeology/second-temple-period-stone-table-unearthed-near-beit-el-639096,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.jpost.com/breaking-news/israel-and-uae-reach-historic-peace-deal-638524,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
58,https://www.jpost.com/breaking-news/trump-to-pardon-a-very-important-person-on-tuesday-not-snowden-flynn-639013,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
54,https://www.jpost.com/cybertech/check-point-claroty-forge-alliance-to-protect-infrastructure-networks-638556,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
55,https://www.jpost.com/cybertech/magal-security-wins-65-million-contract-to-secure-military-assets-638559,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
31,https://www.jpost.com/diaspora/angela-buxton-jewish-tennis-star-who-won-wimbledon-title-dies-aged-85-639151,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
44,https://www.jpost.com/diaspora/antisemitism/accusations-that-trump-stokes-antisemitism-focus-of-democrat-convention-639067,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
43,https://www.jpost.com/diaspora/antisemitism/heil-hitler-and-juden-tagged-on-a-jewish-owned-house-in-lyon-france-639148,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
45,https://www.jpost.com/diaspora/antisemitism/us-envoy-to-combat-antisemitism-urges-houthis-to-release-yemeni-jews-639007,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
57,https://www.jpost.com/diaspora/jared-kushner-ivanka-trump-will-send-kids-back-to-jewish-day-school-639022,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
32,https://www.jpost.com/diaspora/liberal-jewish-groups-back-adl-after-progressive-coalition-attack-639137,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
63,https://www.jpost.com/diaspora/new-book-explores-orthodox-taboos-about-womens-sexuality-gender-639018,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
46,https://www.jpost.com/diaspora/spanish-priests-in-paris-in-wwii-saved-over-130-jews-with-forged-baptism-638971,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.jpost.com/diaspora/what-do-jewish-voters-need-to-know-about-kamala-harris-638296,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
65,https://www.jpost.com/food-recipes/on-international-popsicle-day-try-a-mexican-inspired-israeli-style-treat-638483,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
