,nonnewsurl,blackrule
114,"https://images.jpost.com/image/upload/f_auto,fl_lossy/Icons/PNG/favicon-76.png",^.*.png.*$
26,breaking-news/joe-biden-formally-nominated-as-2020-us-democratic-presidential-candidate-639152,diff domain
28,breaking-news/mali-president-resigns-following-detention-by-mutinying-soldiers-639146,diff domain
27,breaking-news/vmexico-reports-more-than-5500-new-confirmed-coronavirus-cases-639147,diff domain
107,http://jbstv.org/,diff domain
125,http://www.bankhapoalim.com/?refferer=Jpost&amp;subject=hp,diff domain
121,http://www.bankhapoalim.com/?refferer=Jpost&amp;subject=hp&amp;utm_source=Jpost%20Buttons&amp;utm_campaign=Bank%20Hapoalim%20sidebar&amp;utm_medium=sidebar-vertical,diff domain
111,http://www.bankhapoalim.com/?refferer=Jpost&subject=hp,diff domain
46,http://www.bankhapoalim.com/?refferer=Jpost&subject=hp&utm_source=Jpost%20Buttons&utm_campaign=Bank%20Hapoalim%20sidebar&utm_medium=sidebar-vertical,diff domain
124,http://www.danhotels.com/JerusalemHotels/?utm_source=jpost&amp;utm_medium=referral&amp;utm_content=footer&amp;utm_campaign=jpost-dan,diff domain
108,http://www.danhotels.com/JerusalemHotels/?utm_source=jpost&utm_medium=referral&utm_content=footer&utm_campaign=jpost-dan,diff domain
82,http://www.jpostlite.co.il/,diff domain
110,http://www.kkl.org.il/eng/,diff domain
109,http://www.personasmedia.co.il/,diff domain
119,"https://fonts.googleapis.com/css?family=Frank+Ruhl+Libre:300,400,500,700,900&display=swap",diff domain
118,"https://fonts.googleapis.com/css?family=Khula:300,400,600,700,800&display=swap",diff domain
89,https://jpost.activehosted.com/f/4,diff domain
1,https://twitter.com/Jerusalem_Post,diff domain
112,https://www.danielchen.co.il/,diff domain
49,https://www.dhgate.com/,diff domain
45,https://www.excelhighschool.com/,diff domain
2,https://www.facebook.com/TheJerusalemPost,diff domain
7,https://www.israeldefense.co.il/en/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%AA/%D7%A1%D7%99%D7%99%D7%91%D7%A8%D7%98%D7%A7,diff domain
80,https://www.ivritalk.com/?aff=JPostIcon,diff domain
44,https://www.ivritalk.com/?aff=jposticon,diff domain
122,https://www.jpostlite.co.il?utm_source=Jpost%20Buttons&amp;utm_campaign=Jpost%20Lite%20sidebar&amp;utm_medium=sidebar-vertical,diff domain
47,https://www.jpostlite.co.il?utm_source=Jpost%20Buttons&utm_campaign=Jpost%20Lite%20sidebar&utm_medium=sidebar-vertical,diff domain
86,https://www.maariv.co.il/,diff domain
68,https://www.youtube.com/channel/UCLLLdCANnMAdMyrXdYbSlxg,diff domain
51,international,diff domain
83,http://marchoftheliving.jpost.com,not in formula RIP
42,http://realestate.jpost.com/,not in formula RIP
