,nonnewsurl,blackrule
318,https://mashable.com/android-chrome-192x192.png?v=m2Pmw8zNwm,^.*.png.*$
312,https://mashable.com/apple-touch-icon-114x114.png?v=m2Pmw8zNwm,^.*.png.*$
313,https://mashable.com/apple-touch-icon-120x120.png?v=m2Pmw8zNwm,^.*.png.*$
314,https://mashable.com/apple-touch-icon-144x144.png?v=m2Pmw8zNwm,^.*.png.*$
315,https://mashable.com/apple-touch-icon-152x152.png?v=m2Pmw8zNwm,^.*.png.*$
316,https://mashable.com/apple-touch-icon-180x180.png?v=m2Pmw8zNwm,^.*.png.*$
308,https://mashable.com/apple-touch-icon-57x57.png?v=m2Pmw8zNwm,^.*.png.*$
309,https://mashable.com/apple-touch-icon-60x60.png?v=m2Pmw8zNwm,^.*.png.*$
310,https://mashable.com/apple-touch-icon-72x72.png?v=m2Pmw8zNwm,^.*.png.*$
311,https://mashable.com/apple-touch-icon-76x76.png?v=m2Pmw8zNwm,^.*.png.*$
325,https://mashable.com/assets/mashable-publisher-logo-d1800cc5b71606b40182307b4f7158b5dbb17dee6b9c4b612a40c0be40c60bbc.png,^.*.png.*$
323,https://mashable.com/assets/mashable.touchicon-6abd9c967eedf322db0168acf7bc0e472358718072f6b0b916dd5ce982f8e2e8.png,^.*.png.*$
320,https://mashable.com/favicon-16x16.png?v=m2Pmw8zNwm,^.*.png.*$
317,https://mashable.com/favicon-32x32.png?v=m2Pmw8zNwm,^.*.png.*$
319,https://mashable.com/favicon-96x96.png?v=m2Pmw8zNwm,^.*.png.*$
66,https://mashable.com/contact-us/,^.*contact-us.*$
349,https://mashable.com/article/jenna-marbles-julien-solomita-podcast-ends/,^.*podcast.*$
1,#,diff domain
60,https://facebook.com/mashable,diff domain
300,https://pinterest.com/mashable/,diff domain
337,https://t.yesware.com/tt/71b30593224daffd090ea9e6e9a481b97a93a23e/6192469e5a936fed0f85e635cbb1d635/d7b076cb4f776b359888a0adc1e8ea67/support.stackcommerce.com/hc/en-us/requests/new?persona=Internet+Culture&amp;publisher_id=273&amp;publisher_logo=https%3A%2F%2Fcdnp1.stackassets.com%2Ffe11f98bd7119dad30cf34c37f61e214dc6e61c3%2Fstore%2Ff21e674c706b34333b2a7e45fc05ab8d85be251e7409bd9035d60e3e7f10%2FMashable_Web.png&amp;source=lower+footer+contact+link,diff domain
