,newsurl,newsrule
17,https://www.msnbc.com/11th-hour/watch/biden-s-dnc-brings-together-bernie-sanders-and-john-kasich-90230341930,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
19,https://www.msnbc.com/11th-hour/watch/dnc-speaker-kristin-urquiza-who-lost-dad-to-covid-19-i-m-enraged-90230853775,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
14,https://www.msnbc.com/11th-hour/watch/fmr-homeland-security-staffer-endorses-biden-trump-is-terrifying-90230341957,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
42,https://www.msnbc.com/11th-hour/watch/kushner-on-170-000-deaths-covid-19-response-is-a-success-90230853801,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
40,https://www.msnbc.com/11th-hour/watch/michelle-obama-issues-blistering-takedown-of-trump-in-dnc-speech-90230341811,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
41,https://www.msnbc.com/11th-hour/watch/trump-if-i-lose-it-means-the-election-is-rigged-90231877560,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
67,https://www.msnbc.com/all-in/watch/-this-is-our-moment-how-biden-and-harris-are-bringing-hope-in-the-age-of-trump-90103365511,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
66,https://www.msnbc.com/all-in/watch/mich-sec-of-state-explains-two-pronged-strategy-to-fight-election-sabotage-90100293746,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
68,https://www.msnbc.com/all-in/watch/zerlina-let-s-call-birtherism-what-it-is-racism-90101317825,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
23,https://www.msnbc.com/andrea-mitchell-reports/watch/valerie-jarrett-michelle-obama-s-speech-was-something-we-had-never-seen-before-from-her-90257989912,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
16,https://www.msnbc.com/craig-melvin/watch/sen-kaine-we-need-to-trade-out-the-trump-administration-for-one-that-stands-for-character-compassion-and-competence-90257477645,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
69,https://www.msnbc.com/deadline-white-house/watch/dr-kavita-patel-on-wh-guidelines-on-school-reopenings-simplifying-is-not-what-schools-and-parents-need-right-now-90031173803,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
9,https://www.msnbc.com/deadline-white-house/watch/eddie-glaude-donald-trump-is-trying-to-delegitimize-the-election-because-he-thinks-he-is-going-to-lose-90270789954,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
36,https://www.msnbc.com/deadline-white-house/watch/fmr-rep-edwards-a-president-that-is-confident-and-competent-is-not-afraid-of-counting-the-votes-90217541964,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
10,https://www.msnbc.com/deadline-white-house/watch/frank-figliuzzi-greatest-threat-to-the-country-is-an-insider-threat-sitting-inside-the-oval-office-90270277986,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
35,https://www.msnbc.com/deadline-white-house/watch/lori-lightfoot-trump-has-been-fomenting-a-cesspool-of-toxicity-90218053813,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
70,https://www.msnbc.com/deadline-white-house/watch/rep-swalwell-this-president-has-never-met-a-deal-or-seen-an-election-he-wasn-t-willing-to-cheat-90030149710,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
6,https://www.msnbc.com/deadline-white-house/watch/speaker-pelosi-trump-s-purpose-is-to-jeopardize-the-integrity-of-the-election-90268229514,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
71,https://www.msnbc.com/deadline-white-house/watch/steve-schmidt-calls-trump-a-political-arsonist-he-ll-burn-everything-down-to-win-a-second-term-89970757927,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
12,https://www.msnbc.com/hallie-jackson/watch/hallie-jackson-on-raising-daughter-amid-pandemic-racial-inequality-90247749883,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
8,https://www.msnbc.com/hallie-jackson/watch/new-senate-intelligence-committee-report-says-trump-campaign-was-eager-for-foreign-help-in-2016-90248773534,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
24,https://www.msnbc.com/hallie-jackson/watch/rep-allred-biden-presidency-will-restore-american-values-90248773798,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
53,https://www.msnbc.com/kasie-dc/watch/dnc-chair-unity-is-our-greatest-strength-and-it-s-donald-trump-s-worst-nightmare-90167877991,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
13,https://www.msnbc.com/katy-tur/watch/suburban-women-in-battleground-ohio-react-to-trump-campaign-amid-pandemic-90262085605,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
49,https://www.msnbc.com/morning-joe/watch/chicago-mayor-usps-shouldn-t-be-a-partisan-issue-90243141643,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
56,https://www.msnbc.com/morning-joe/watch/d-c-mayor-muriel-bowser-set-to-speak-at-dnc-90190405943,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
55,https://www.msnbc.com/morning-joe/watch/dnc-chair-previews-convention-says-trump-chronically-imcompetent-90178629878,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
54,https://www.msnbc.com/morning-joe/watch/does-louis-dejoy-want-to-be-that-guy-blocking-the-vote-90177093973,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
57,https://www.msnbc.com/morning-joe/watch/george-will-conservatives-have-to-purge-certain-factions-90185285940,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
50,https://www.msnbc.com/morning-joe/watch/honoring-the-19th-amendment-centennial-with-an-asterisk-90240069541,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
52,https://www.msnbc.com/morning-joe/watch/joe-scarborough-discusses-upcoming-book-saving-freedom-90236997768,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
15,https://www.msnbc.com/morning-joe/watch/longtime-republicans-sound-off-against-trump-at-dnc-90236997972,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
51,https://www.msnbc.com/morning-joe/watch/professor-participates-in-covid-19-vaccine-trial-90240581890,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
22,https://www.msnbc.com/msnbc/watch/dnc-lineup-reflects-biden-harris-camp-s-prioritizing-women-voters-90225221674,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
5,https://www.msnbc.com/msnbc/watch/eric-holder-on-senate-report-on-russian-interference-america-needs-to-wake-up-90277957771,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
20,https://www.msnbc.com/msnbc/watch/kornacki-this-is-best-a-challenger-has-polled-against-an-incumbent-since-bill-clinton-90224197832,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
21,https://www.msnbc.com/msnbc/watch/lawrence-on-gop-at-the-dnc-it-s-the-only-part-of-the-convention-that-matters-90225221761,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
4,https://www.msnbc.com/msnbc/watch/nicolle-even-fox-news-recognized-political-power-of-michelle-obama-s-speech-90275397793,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
18,https://www.msnbc.com/msnbc/watch/nicolle-wallace-michelle-obama-delivered-epic-shade-on-first-night-of-dnc-90229829681,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
11,https://www.msnbc.com/msnbc/watch/study-shows-predominantly-white-counties-have-lowest-coronavirus-hiv-rates-90261573939,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
26,https://www.msnbc.com/msnbc/watch/warren-calls-for-postal-service-changes-rollback-dejoy-removal-90223173904,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
47,https://www.msnbc.com/mtp-daily/watch/arne-duncan-i-worry-a-lot-about-what-we-re-seeing-with-athletes-now-90088005902,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
43,https://www.msnbc.com/mtp-daily/watch/fmr-acting-cdc-director-college-students-are-a-tough-crowd-when-it-comes-to-changing-behavior-90254405914,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
