,nonnewsurl,blackrule
131,https://www.msnbc.com/sites/msnbc/themes/leanforward/images/site-header/msnbc-logo-small.png,^.*.png.*$
89,https://www.msnbc.com/podcast/amy-hess-fidelity-bravery-integrity-n1234549,^.*podcast.*$
87,https://www.msnbc.com/podcast/captain-sully-sullenberger-my-aircraft-n1235863,^.*podcast.*$
88,https://www.msnbc.com/podcast/mike-leiter-intelligence-n1235170,^.*podcast.*$
84,https://www.msnbc.com/podcasts-and-newsletters,^.*podcast.*$
85,https://link.chtbl.com/obvkRMCh?sid=Homepage,diff domain
132,https://media1.s-nbcnews.com/i/newscms/2018_21/2442291/msnbc-og-image_c986de7e1bb6ad2281723b692aa61990.png,diff domain
165,https://nodeassets.nbcnews.com/_next/static/chunks/02e2d4072f6d319a6ab17ba19af6f19b3121e705.ee444231edfabb37bd0f.js,diff domain
153,https://nodeassets.nbcnews.com/_next/static/chunks/0da364b93b2c8f1eec706a4899889cea97e7b72c.7bdf11a72fe2151bb156.js,diff domain
152,https://nodeassets.nbcnews.com/_next/static/chunks/129614da74c3b811d411acbd3b8bb0429a6abf89.e1271b5e036d5069ae86.js,diff domain
164,https://nodeassets.nbcnews.com/_next/static/chunks/149ffedfa2029956343a166a112aebba5b2349b7.d3a19a710dc316dd7b49.js,diff domain
166,https://nodeassets.nbcnews.com/_next/static/chunks/149ffedfa2029956343a166a112aebba5b2349b7_CSS.7257950804e0a9b6ee6c.js,diff domain
146,https://nodeassets.nbcnews.com/_next/static/chunks/1601a43eabc2636fc2beec5350fe9f2e81a173fd.50f331165f6e4d624c77.js,diff domain
170,https://nodeassets.nbcnews.com/_next/static/chunks/1f89c14b7d7dfaa1f9bd139500594091a8de1e35.21b53992efd7bda8a036.js,diff domain
151,https://nodeassets.nbcnews.com/_next/static/chunks/49a6a29f7ef59b3413291e806e2b2967d5fc5df3.d03bbb10224b78313167.js,diff domain
149,https://nodeassets.nbcnews.com/_next/static/chunks/5fe40d754890cd9ba2754ccbbe8db237d44341d3.bb5772f356e4cae6e32c.js,diff domain
169,https://nodeassets.nbcnews.com/_next/static/chunks/6b1b363f69cc69e9c514b2f9731e37263f2ab204.2fdab635f3e82a9d4f88.js,diff domain
150,https://nodeassets.nbcnews.com/_next/static/chunks/707f7457ee38f8911bf33a3244756a32d835b270.6ce360197bc0578d1194.js,diff domain
155,https://nodeassets.nbcnews.com/_next/static/chunks/718e01735cdb7ffa8356318b38e5abadc9e9c014.a049a44275da94207fa5.js,diff domain
159,https://nodeassets.nbcnews.com/_next/static/chunks/79034292050cca9367ac009aa7ea2c18d3b5a7e1.93487ea2e9e8559fce34.js,diff domain
157,https://nodeassets.nbcnews.com/_next/static/chunks/851ea6da.a92bf8af966800c0ed3d.js,diff domain
171,https://nodeassets.nbcnews.com/_next/static/chunks/87f7138d1e0b8fd49d1e3f9816c7ae6f3c376a99.deeb919f9e8759659eb6.js,diff domain
154,https://nodeassets.nbcnews.com/_next/static/chunks/8ad59fddc559c0011a7b66ec09737887a18fde54.6a0520a352db009c0105.js,diff domain
162,https://nodeassets.nbcnews.com/_next/static/chunks/8e9c2d8948ed4e2972e6322c8c8d2e92f76cc949.75bc7ba64f614ad681b2.js,diff domain
160,https://nodeassets.nbcnews.com/_next/static/chunks/90752790359f6d344450bab589d157c52c8f6530.d25f94bcc0d263020b1c.js,diff domain
163,https://nodeassets.nbcnews.com/_next/static/chunks/99d98698c62ec7b1b0c14aea33b2a2691ec56198.2772a120cfb391d80f03.js,diff domain
161,https://nodeassets.nbcnews.com/_next/static/chunks/9f5f3c298d1541a67e94c0d530c5933507d67ec8.63130b939ea9f14e8484.js,diff domain
