,newsurl,newsrule
1,https://www.newscientist.com/article/2237475-covid-19-news-who-calls-for-an-end-to-vaccine-nationalism/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.newscientist.com/article/2248216-why-hasnt-the-uk-seen-a-second-wave-of-the-coronavirus/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.newscientist.com/article/2249160-robots-can-now-give-full-body-personalised-massages-at-home/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.newscientist.com/article/2250045-lyme-disease-vaccine-found-to-be-safe-and-effective-in-clinical-trial/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.newscientist.com/article/2251572-are-pets-at-risk-of-getting-covid-19-and-can-they-spread-it-to-people/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.newscientist.com/article/2251615-is-swedens-coronavirus-strategy-a-cautionary-tale-or-a-success-story/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.newscientist.com/article/2251798-coronavirus-essential-guide-everything-you-need-to-know-on-covid-19/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.newscientist.com/article/2251840-mindfulness-and-meditation-can-worsen-depression-and-anxiety/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.newscientist.com/article/2251844-borneos-carnivorous-squirrel-actually-mainly-eats-one-kind-of-seed/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.newscientist.com/article/2251898-virtual-assistant-will-screen-your-phone-calls-to-block-spammers/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.newscientist.com/article/2252012-an-ai-built-by-facebook-could-drastically-speed-up-mri-scans/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.newscientist.com/article/2252019-your-smartphone-could-tell-if-you-are-drunk-by-analysing-your-walk/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.newscientist.com/article/2252136-return-of-covid-19-to-new-zealand-shows-that-no-one-can-relax/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.newscientist.com/article/2252153-covid-19-how-can-we-travel-abroad-safely-during-the-pandemic/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.newscientist.com/article/2252227-hundreds-of-uk-ambulances-rely-on-software-vulnerable-to-cyberattack/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.newscientist.com/article/mg24732941-000-lisa-piccirillo-how-i-cracked-a-50-year-old-maths-problem-in-a-week/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.newscientist.com/article/mg24732944-300-how-to-hug-people-in-a-coronavirus-stricken-world/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.newscientist.com/article/mg24732951-100-why-dark-matter-should-be-called-something-else/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.newscientist.com/article/mg24732951-300-esas-dazzling-laser-hunts-for-atmospheric-pollution-in-the-antarctic/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.newscientist.com/article/mg24732951-700-the-surprising-ways-little-social-interactions-affect-your-health/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.newscientist.com/article/mg24732951-800-can-we-rely-on-tropical-forests-to-stop-runaway-climate-change/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.newscientist.com/article/mg24732951-900-can-static-electricity-make-chemistry-more-efficient-and-greener/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.newscientist.com/article/mg24732954-000-david-spiegelhalter-how-to-be-a-coronavirus-statistics-sleuth/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
28,https://www.newscientist.com/coronavirus-customer-service-update/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
29,https://www.newscientist.com/in216-syndication-information/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
27,https://www.newscientist.com/video/2245584-mitul-mehta-brain-scanners-can-help-revolutionise-psychiatric-drugs/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.newscientist.com/video/2250052-james-lovelock-says-artificial-intelligence-is-the-start-of-new-life/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://www.newscientist.com/video/2250058-the-return-of-race-science-an-interview-with-angela-saini/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://www.newscientist.com/video/2250566-electronic-a-trip-through-the-history-of-music/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.newscientist.com/video/2251306-the-future-of-air-travel-in-a-warmer-world/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
