,nonnewsurl,blackrule
54,https://www.newscientist.com/build/images/img/layup/touch-icon/114x114.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
55,https://www.newscientist.com/build/images/img/layup/touch-icon/144x144.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
56,https://www.newscientist.com/build/images/img/layup/touch-icon/152x152.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
57,https://www.newscientist.com/build/images/img/layup/touch-icon/167x167.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
58,https://www.newscientist.com/build/images/img/layup/touch-icon/180x180.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
52,https://www.newscientist.com/build/images/img/layup/touch-icon/57x57.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
53,https://www.newscientist.com/build/images/img/layup/touch-icon/72x72.png?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,^.*.png.*$
31,https://www.newscientist.com/contact-us/,^.*contact-us.*$
30,https://subscribe.newscientist.com/myaccount/renewal.aspx?intcmp=RENEW-homepage-cover,^.*my.*account.*$
4,https://www.newscientist.com/podcasts/,^.*podcast.*$
38,https://www.newscientist.com/rss-feeds/,^.*rss-feed.*$
10,#,diff domain
47,#navigation,diff domain
59,"fonts.googleapis.com/css?family=PT+Serif:400|Titillium+Web:400,700,700italic&display=swap",diff domain
43,https://www.facebook.com/newscientist,diff domain
45,https://www.linkedin.com/company/528037/,diff domain
46,https://www.pinterest.com/newscientist/,diff domain
44,https://www.twitter.com/newscientist,diff domain
36,https://experience.newscientist.com/advertise/,not in formula RIP
49,https://feeds.newscientist.com/home,not in formula RIP
42,https://landing.newscientist.com/corporate-access/,not in formula RIP
41,https://landing.newscientist.com/educational-access/,not in formula RIP
14,https://shop.newscientist.com/,not in formula RIP
62,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer-gift.php?promCode=15056%2C15055&amp;packageCodes=TAP&amp;offerCode=6M%2C51i,not in formula RIP
39,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer-gift.php?promCode=15056%2C15055&packageCodes=TAP&offerCode=6M%2C51i,not in formula RIP
61,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer-gift.php?promCode=15074%2C15073&amp;packageCodes=TAP&amp;offerCode=6M%2C51i,not in formula RIP
28,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer-gift.php?promCode=15074%2C15073&packageCodes=TAP&offerCode=6M%2C51i,not in formula RIP
60,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer.php?promCode=15039%2C15040&amp;packageCodes=TAP&amp;offerCode=51i%2C6M,not in formula RIP
2,https://subscription.newscientist.com/packages/newscientist-2020-q3-summer.php?promCode=15039%2C15040&packageCodes=TAP&offerCode=51i%2C6M,not in formula RIP
1,https://www.newscientist.com/,not in formula RIP
33,https://www.newscientist.com/about/,not in formula RIP
23,https://www.newscientist.com/activate-subscription/,not in formula RIP
29,https://www.newscientist.com/app-download/,not in formula RIP
51,https://www.newscientist.com/build/css/core.min.css?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,not in formula RIP
48,https://www.newscientist.com/build/images/img/layup/new-sci-favicon.ico?ver=89856a3eca141213e2fcb14a9d0ca927c42e95d1,not in formula RIP
17,https://www.newscientist.com/connect/facebook,not in formula RIP
18,https://www.newscientist.com/connect/google,not in formula RIP
13,https://www.newscientist.com/crosswords/,not in formula RIP
21,https://www.newscientist.com/educational-access/,not in formula RIP
37,https://www.newscientist.com/freelancers/,not in formula RIP
32,https://www.newscientist.com/help/,not in formula RIP
26,https://www.newscientist.com/issue/3295/,not in formula RIP
27,https://www.newscientist.com/issues/,not in formula RIP
19,https://www.newscientist.com/lost-password/,not in formula RIP
34,https://www.newscientist.com/privacy/,not in formula RIP
20,https://www.newscientist.com/registration/,not in formula RIP
16,https://www.newscientist.com/science-events/,not in formula RIP
3,https://www.newscientist.com/section/news/,not in formula RIP
0,https://www.newscientist.com/sign-up/,not in formula RIP
12,https://www.newscientist.com/subject/environment/,not in formula RIP
9,https://www.newscientist.com/subject/health/,not in formula RIP
25,https://www.newscientist.com/subject/humans/,not in formula RIP
24,https://www.newscientist.com/subject/life/,not in formula RIP
11,https://www.newscientist.com/subject/mind/,not in formula RIP
8,https://www.newscientist.com/subject/physics/,not in formula RIP
7,https://www.newscientist.com/subject/space/,not in formula RIP
6,https://www.newscientist.com/subject/technology/,not in formula RIP
40,https://www.newscientist.com/subscribe/studentdiscount/,not in formula RIP
22,https://www.newscientist.com/subscription/connect-to-qss/,not in formula RIP
35,https://www.newscientist.com/terms/,not in formula RIP
15,https://www.newscientist.com/tours/,not in formula RIP
5,https://www.newscientist.com/video/,not in formula RIP
50,https://www.newscientist.com/wp-includes/wlwmanifest.xml,not in formula RIP
