,newsurl,newsrule
2,https://www.oann.com/absentee-voting-more-effective-at-boosting-voting-rates-than-universal-mail-in-ballots/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.oann.com/actor-cuba-gooding-jr-accused-of-2013-rape-in-lawsuit-filed-by-unnamed-woman/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.oann.com/chinas-geely-automobile-first-half-profit-drops-43-on-coronavirus-hit/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.oann.com/college-football-players-at-a-crossroads-as-u-s-charts-path-in-covid-19-era/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.oann.com/colo-sen-gardners-reelection-bid-against-hickenlooper/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.oann.com/daily-caller-blm-movement-wants-to-destroy-america/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.oann.com/de-blasio-admin-skipped-the-permit-process-to-paint-blm-mural-in-front-of-trump-tower/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
28,https://www.oann.com/democrat-state-senator-facing-felony-charges-over-involvement-in-destruction-of-confederate-monument/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.oann.com/despite-u-s-sanctions-bid-iran-aims-to-keep-nuclear-deal-alive-until-u-s-election/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.oann.com/detached-from-reality-why-u-s-stocks-just-hit-a-new-high/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.oann.com/dhs-execs-attention-grab-falls-flat-with-those-who-served-with-him/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://www.oann.com/fla-announces-relaunch-of-hurricane-recovery-loan-program/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
27,https://www.oann.com/fmr-gop-ohio-gov-kasich-faces-pressure-from-both-sides-after-endorsing-biden/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.oann.com/gop-hopeful-cites-desperate-tactics-in-race-for-n-c-district/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.oann.com/in-lawsuit-fortnite-maker-to-test-idea-of-iphone-as-market-unto-itself/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
29,https://www.oann.com/israel-to-establish-flights-to-uae/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.oann.com/lights-camera-not-much-action-hollywood-slow-to-restart-in-a-pandemic/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.oann.com/mlb-roundup-dodgers-outslug-ms-as-seagers-each-homer/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.oann.com/n-y-leaders-blame-president-trump-for-spike-in-weekend-violence-crime/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://www.oann.com/navarro-u-s-democrats-chinese-communists-collude-against-president-trump/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.oann.com/nba-roundup-despite-mitchells-57-nuggets-beat-jazz-in-ot/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.oann.com/pompeo-likely-to-visit-u-n-on-thursday-in-pursuit-of-sanctions-on-iran-diplomats/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.oann.com/president-trump-celebrates-100th-anniversary-of-19th-amendment/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.oann.com/report-nfl-wont-have-full-time-officials-in-2020/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.oann.com/robinhood-valuation-surges-to-11-2-billion-after-latest-funding-round/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.oann.com/say-goodbye-to-the-shortest-bear-market-in-sp-500-history/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.oann.com/second-man-pleads-not-guilty-in-brazen-killing-of-jam-master-jay/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.oann.com/secy-mnuchin-urges-democrats-to-resume-stalling-stimulus-talks/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
30,https://www.oann.com/tag/2020-presidential-election/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
31,https://www.oann.com/tag/department-of-homeland-security/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
32,https://www.oann.com/tag/house-speaker-nancy-pelosi/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
33,https://www.oann.com/tag/secretary-of-state-mike-pompeo/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.oann.com/tech-firms-offer-carbon-tracking-software-to-meet-oil-investor-demands/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.oann.com/three-producers-out-at-ellen-degeneres-tv-show-amid-backstage-turmoil/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
