,newsurl,newsrule
20,https://help.pbs.org/support/solutions/articles/5000677869,"^.*\/[0-9a-z-]*[0-9]{8,10}[a-z]*$"
27,https://www.pbs.org/newshour/economy/making-sense/are-tariffs-boosting-the-u-s-aluminum-industry,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://www.pbs.org/newshour/economy/making-sense/how-the-u-s-china-trade-war-could-damage-the-amazon-rainforest,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://www.pbs.org/newshour/economy/who-would-pay-for-trumps-tariff-hike,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
28,https://www.pbs.org/newshour/health/oleandrin-is-a-deadly-plant-poison-not-a-covid-19-cure,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.pbs.org/newshour/nation/california-power-operators-plead-for-conservation-gov-newsom-declares-emergency-over-wildfires,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.pbs.org/newshour/nation/gloria-steinem-on-the-role-of-women-of-color-in-the-suffrage-movement,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
31,https://www.pbs.org/newshour/politics/highlights-from-night-1-of-the-2020-dnc,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.pbs.org/newshour/politics/how-to-watch-the-2020-national-conventions,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
29,https://www.pbs.org/newshour/politics/senate-panel-finds-russia-interfered-in-the-2016-us-election,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.pbs.org/newshour/politics/watch-alexandria-ocasio-cortez-celebrates-the-progressive-movement-within-the-democratic-party,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.pbs.org/newshour/politics/watch-caroline-kennedy-depicts-biden-as-a-public-servant-at-the-democratic-national-convention,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.pbs.org/newshour/politics/watch-former-president-bill-clintons-says-trump-will-blame-bully-and-belittle-if-he-stays-in-white-house,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.pbs.org/newshour/politics/watch-michelle-obama-says-vote-like-lives-depend-on-it-at-democratic-national-convention,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.pbs.org/newshour/politics/watch-sally-yates-says-trump-has-trampled-the-rule-of-law-at-2020-democratic-national-convention,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.pbs.org/newshour/politics/watch-stacey-abrams-says-america-needs-biden-at-the-democratic-national-convention,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.pbs.org/newshour/series/china-power-and-prosperity,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.pbs.org/newshour/show/a-century-after-19th-amendment-gloria-steinem-on-what-challenges-remain,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
30,https://www.pbs.org/newshour/show/a-week-after-devastating-wind-storm-iowa-faces-humanitarian-crisis,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.pbs.org/newshour/show/al-franken-on-trumps-pandemic-response-and-why-biden-would-be-better,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.pbs.org/newshour/show/august-18-2020-pbs-newshour-full-episode,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.pbs.org/newshour/show/bill-clinton-aoc-jill-biden-to-headline-night-2-of-the-dnc,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.pbs.org/newshour/show/conviction-in-hariri-case-increases-pressure-on-hezbollah,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.pbs.org/newshour/show/democratic-delegates-gear-up-to-support-biden-from-afar,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.pbs.org/newshour/show/how-anti-trump-republicans-are-working-to-defeat-him,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.pbs.org/newshour/show/julian-castro-on-mobilizing-latino-voters-to-support-biden,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.pbs.org/newshour/show/mostly-bipartisan-senate-intel-committee-report-on-russia-highlights-manaforts-role,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.pbs.org/newshour/show/news-wrap-soldiers-in-mali-detain-president-in-apparent-coup-attempt,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.pbs.org/newshour/show/pbs-newshour-presents-china-power-and-prosperity,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.pbs.org/newshour/show/the-latest-details-from-the-dnc-and-trumps-usps-saga,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.pbs.org/newshour/show/why-this-former-dhs-official-under-trump-is-endorsing-biden,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.pbs.org/newshour/world/in-chinas-film-industry-the-communist-party-is-in-the-directors-seat,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
