,newsurl,newsrule
1,https://qz.com/1868508/where-oil-and-gas-companies-fall-in-the-sp-500-charted/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://qz.com/1875863/hong-kong-national-security-law-covers-everyone-on-earth/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://qz.com/1885749/how-the-hong-kong-protest-movement-became-the-worlds-fight/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://qz.com/1889787/moma-design-store-now-sells-vibrators-and-products-created-by-women/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://qz.com/1889798/covid-19-is-making-the-opioid-crisis-much-worse/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://qz.com/1891723/what-is-the-best-air-purifier-for-covid-19-protection/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://qz.com/1893053/countries-communicate-poorly-about-covid-19/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://qz.com/1893074/more-americans-now-work-in-delivery-jobs-than-at-gas-stations/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://qz.com/1893235/swift-transfer-system-leaves-china-vulnerable-to-us-sanctions/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://qz.com/1893366/whos-winning-the-battle-for-stakeholder-capitalism/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://qz.com/1893496/susan-b-anthony-doesnt-need-to-be-pardoned/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://qz.com/india/1893001/zuckerbergs-facebook-under-fire-over-hate-speech-modis-bjp/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://qz.com/work/1891656/study-remote-work-is-actually-improving-company-culture/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://qz.com/work/1893334/furloughed-brits-just-kept-working-during-covid-19/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
