,newsurl,newsrule
22,https://www.redstate.com/alexparker/2020/08/18/bill-de-blasio-new-york-homeless-hotel-end-program-public-urination-masturbation/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
0,https://www.redstate.com/alexparker/2020/08/18/democratic-national-convention-panelist-ashley-mccray-party-end-capitalism-youth-council-white-supremacy/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
17,https://www.redstate.com/alexparker/2020/08/18/iowa-state-university-college-choe-clark-young-americas-foundation-english-class-oppose-pro-choice-dismissal/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
7,https://www.redstate.com/alexparker/2020/08/18/mike-huckabee-alexandria-ocasio-cortez-speak-democratic-convention-60-seconds/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
26,https://www.redstate.com/bonchie/2020/08/18/chris-christie-savages-john-kasich-after-abc-tries-to-play-up-republican-biden-endorsements/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
20,https://www.redstate.com/bonchie/2020/08/18/new-poll-shows-how-mind-blowingly-ill-informed-voters-are-about-covid/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
13,https://www.redstate.com/bonchie/2020/08/18/pictures-of-bill-clinton-getting-massaged-by-epstein-rape-victim-drop-as-he-prepares-dnc-remarks/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
2,https://www.redstate.com/bonchie/2020/08/18/trump-pardons-susan-b-anthony-shes-immediately-cancelled-as-a-result/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
15,https://www.redstate.com/bradslager/2020/08/18/900310/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
8,https://www.redstate.com/brandon_morse/2020/08/18/carolla-media-death/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
5,https://www.redstate.com/brandon_morse/2020/08/18/fwiw-remix-dnc/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
10,https://www.redstate.com/diary/clint-fargeau/2020/08/18/840217/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
