,nonnewsurl,blackrule
51,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/android-chrome-192x192.png,^.*.png.*$
43,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-114x114.png,^.*.png.*$
44,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-120x120.png,^.*.png.*$
45,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-144x144.png,^.*.png.*$
46,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-152x152.png,^.*.png.*$
47,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-180x180.png,^.*.png.*$
39,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-57x57.png,^.*.png.*$
40,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-60x60.png,^.*.png.*$
41,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-72x72.png,^.*.png.*$
42,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/apple-touch-icon-76x76.png,^.*.png.*$
48,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/favicon-16x16.png,^.*.png.*$
49,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/favicon-32x32.png,^.*.png.*$
50,https://www.redstate.com/wp-content/themes/redstate-desktop-2017/images/favicon/favicon-96x96.png,^.*.png.*$
34,ad.doubleclick.net,diff domain
36,c.amazon-adsystem.com,diff domain
66,c0.wp.com,diff domain
25,cdnjs.cloudflare.com,diff domain
26,fonts.googleapis.com,diff domain
12,http://townhall.com/tipsheet/bethbaumann/2020/08/18/schumer-says-trump-divided-the-country-yet-he-waged-a-war-on-conservatives-n2574620,diff domain
15,https://bearingarms.com/,diff domain
10,https://bearingarms.com/cam-e/2020/08/17/phillys-gun-turn-in-didnt-make-a-dent-in-weekend-shootings/,diff domain
58,https://c0.wp.com/c/5.5/wp-includes/css/dist/block-library/style.min.css,diff domain
56,https://cdnjs.cloudflare.com/ajax/libs/jquery-migrate/1.4.1/jquery-migrate.min.js,diff domain
55,https://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js,diff domain
14,https://hotair.com/,diff domain
68,https://media.townhall.com/_townhall/resources/css/capturator/capturator.css?v=510027018,diff domain
22,https://media.townhall.com/townhall/privacypolicy/TermsofUse.htm,diff domain
18,https://pjmedia.com/,diff domain
