,newsurl,newsrule
16,https://www.sciencemag.org/careers/2020/07/get-through-personal-crisis-i-found-surprising-source-comfort-work,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
14,https://www.sciencemag.org/careers/2020/07/intrusive-personal-questions-don-t-belong-job-interviews,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
15,https://www.sciencemag.org/careers/2020/07/job-searches-crisis-concessions-and-creativity-are-key,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
13,https://www.sciencemag.org/careers/2020/07/pandemic-hitting-scientist-parents-hard-and-some-solutions-may-backfire,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
17,https://www.sciencemag.org/careers/2020/07/scientists-working-hours-what-does-done-mean,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
11,https://www.sciencemag.org/careers/2020/08/global-disputes-affect-foreign-scientists-we-need-community-support,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
12,https://www.sciencemag.org/careers/2020/08/how-be-ethical-scientist,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
10,https://www.sciencemag.org/careers/2020/08/i-returned-research-after-22-years-interruptions-don-t-have-last-forever,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
27,https://www.sciencemag.org/news/2020/07/after-40-years-researchers-finally-see-earths-climate-destiny-more-clearly,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
25,https://www.sciencemag.org/news/2020/07/brain-fog-heart-damage-covid-19-s-lingering-problems-alarm-scientists,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
26,https://www.sciencemag.org/news/2020/07/dogs-may-use-earth-s-magnetic-field-take-shortcuts,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
