,newsurl,newsrule
12,https://blogs.scientificamerican.com/voices/george-floyds-autopsy-and-the-structural-gaslighting-of-america/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.scientificamerican.com/article/a-nixon-deepfake-a-moon-disaster-speech-and-an-information-ecosystem-at-risk1/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.scientificamerican.com/article/celebrating-scientific-american-rsquo-s-175th-anniversary/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.scientificamerican.com/article/could-we-force-the-universe-to-crash/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.scientificamerican.com/article/explore-175-years-of-words-in-scientific-american/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.scientificamerican.com/article/extreme-heat-exposure-could-really-ramp-up-in-u-s-cities/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.scientificamerican.com/article/grieving-and-frustrated-black-scientists-call-out-racism-in-the-wake-of-police-killings/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.scientificamerican.com/article/how-to-turn-175-years-of-words-in-scientific-american-into-an-image/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
15,https://www.scientificamerican.com/article/medical-schools-need-to-get-better-at-addressing-structural-racism/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.scientificamerican.com/article/nine-important-things-weve-learned-about-the-coronavirus-pandemic-so-far/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.scientificamerican.com/article/police-violence-calls-for-measures-beyond-de-escalation-training1/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.scientificamerican.com/article/the-dark-side-of-being-a-female-shark-researcher/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.scientificamerican.com/article/the-racist-legacy-of-computer-generated-humans/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.scientificamerican.com/article/the-science-of-sourdough-how-microbes-enabled-a-pandemic-pastime/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.scientificamerican.com/article/this-twist-on-schroedingers-cat-paradox-has-major-implications-for-quantum-theory/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.scientificamerican.com/article/what-if-we-could-live-for-a-million-years/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.scientificamerican.com/page/california-consumer-privacy-statement/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.scientificamerican.com/report/the-black-lives-matter-movement/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.scientificamerican.com/video/a-map-15-years-in-the-making-illuminates-a-grand-canyon-off-californias-coast/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.scientificamerican.com/video/covid-19-the-big-questions-that-remain/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.scientificamerican.com/video/dark-frontiers-the-science-of-black-holes/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.scientificamerican.com/video/drones-capture-close-encounters-between-great-white-sharks-and-beachgoers/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.scientificamerican.com/video/why-history-urges-caution-on-coronavirus-immunity-testing1/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
