,newsurl,newsrule
21,https://www.snopes.com/ap/2020/08/17/2-men-indicted-in-2002-killing-of-run-dmcs-jam-master-jay/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
20,https://www.snopes.com/ap/2020/08/17/ex-cops-video-captures-crowds-horror-during-floyd-arrest/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
9,https://www.snopes.com/ap/2020/08/18/ap-ballot-drop-boxes-seen-as-a-way-to-bypass-the-post-office/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
16,https://www.snopes.com/ap/2020/08/18/michelle-obama-warns-at-dnc-that-trump-is-in-over-his-head/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
12,https://www.snopes.com/ap/2020/08/18/postal-service-halts-some-operational-changes-after-outcry/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
11,https://www.snopes.com/ap/2020/08/18/sandy-hook-families-gun-maker-trying-to-wipe-out-lawsuit/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
14,https://www.snopes.com/ap/2020/08/18/senate-panel-concludes-russia-interfered-in-2016-us-election/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
15,https://www.snopes.com/ap/2020/08/18/trump-to-pardon-womens-suffrage-leader-susan-b-anthony/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
1,https://www.snopes.com/news/2020/08/04/shellenberger-climate-change/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
18,https://www.snopes.com/news/2020/08/17/does-the-common-cold-protect-you-from-covid/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
5,https://www.snopes.com/news/2020/08/18/is-body-weight-affected-by-when-you-eat/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
8,https://www.snopes.com/news/2020/08/18/kids-are-bigger-coronavirus-spreaders-than-many-doctors-realized/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
7,https://www.snopes.com/news/2020/08/18/oleandrin-is-a-deadly-plant-poison-not-a-covid-19-cure/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
0,https://www.snopes.com/50-hottest-urban-legends/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.snopes.com/collections/the-kamala-harris-collection/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.snopes.com/collections/the-mail-in-ballot-collection/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.snopes.com/fact-check/fake-id-seized-chicago-fraud/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.snopes.com/fact-check/is-this-a-327-pound-halibut/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.snopes.com/fact-check/kamala-harris-affair-willie-brown/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
26,https://www.snopes.com/fact-check/kamala-harris-ancestor-slaves/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.snopes.com/fact-check/lol-surprise-dolls-water/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.snopes.com/fact-check/tokyo-set-off-fireworks-2020/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.snopes.com/fact-check/trump-child-rape-settlements/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.snopes.com/fact-check/trump-women-treat-em-like-shit/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
25,https://www.snopes.com/fact-check/usps-mailboxes-removed-oregon/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.snopes.com/faq/makes-snopes-reliable-resource/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.snopes.com/faq/may-submit-questions-images-fact-checked/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
