,newsurl,newsrule
23,https://techcrunch.com/2015/02/11/twitter-acquires-niche-a-startup-that-helps-advertisers-work-with-social-media-celebrities/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
44,https://techcrunch.com/2016/12/15/oracle-ceo-safra-catz-joins-trump-transition-team/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
25,https://techcrunch.com/2017/04/07/netflix-adds-a-screensaver-to-its-tv-apps-to-promote-its-original-content/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
26,https://techcrunch.com/2017/06/19/netflix-tests-pre-roll-video-previews-that-are-personalized-to-your-interests/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
22,https://techcrunch.com/2017/11/15/united-masters/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
45,https://techcrunch.com/2018/06/29/apple-is-rebuilding-maps-from-the-ground-up/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
27,https://techcrunch.com/2018/07/16/netflix-experiments-with-promoting-its-shows-on-the-login-screen/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
52,https://techcrunch.com/2019/03/13/sketch-maker-of-popular-design-tools-just-landed-20-million-in-series-a-funding-from-benchmark-in-its-first-outside-round/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
28,https://techcrunch.com/2019/04/19/netflix-says-its-testing-a-shuffle-feature-for-when-you-dont-know-what-to-watch/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
46,https://techcrunch.com/2019/06/24/ios-13-preview/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
51,https://techcrunch.com/2019/10/22/figmas-community-lets-designers-share-and-remix-live-files/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
53,https://techcrunch.com/2019/12/05/design-may-be-the-next-entrepreneurial-gold-rush/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
55,https://techcrunch.com/2020/04/16/announcing-the-extra-crunch-live-event-series/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
30,https://techcrunch.com/2020/05/23/jiomart-the-e-commerce-venture-by-indias-richest-man-launches-in-additional-cities/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
50,https://techcrunch.com/2020/06/22/canva-raises-60-million-on-a-6-billion-valuation/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
47,https://techcrunch.com/2020/06/25/apple-maps-to-tell-you-refine-location-by-scanning-the-skyline/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
24,https://techcrunch.com/2020/07/23/tiktok-creator-fund-200-million-us/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
49,https://techcrunch.com/2020/07/27/without-desks-and-a-demo-day-are-accelerators-worth-it/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
42,https://techcrunch.com/2020/08/03/trump-calls-tiktok-a-hot-brand-demands-a-chunk-of-its-sale-price/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
43,https://techcrunch.com/2020/08/10/beware-bankers-talking-tiktok/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
48,https://techcrunch.com/2020/08/11/accessing-social-groups-through-referrals/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
31,https://techcrunch.com/2020/08/12/bytedance-in-talks-with-indias-reliance-for-investment-in-tiktok/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
29,https://techcrunch.com/2020/08/14/amazon-pharmacy-bangalore-india-launch/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
41,https://techcrunch.com/2020/08/14/looking-at-how-genz-has-changed-fundraising/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
40,https://techcrunch.com/2020/08/17/hear-how-covid-19-has-disrupted-the-startup-world/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
21,https://techcrunch.com/2020/08/17/tiktok-announces-a-deal-with-unitedmasters-its-first-music-distribution-partnership/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
33,https://techcrunch.com/2020/08/18/amazon-will-add-3500-tech-and-corporate-jobs-across-six-us-cities/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
35,https://techcrunch.com/2020/08/18/apple-launches-apple-music-radio-with-a-rebranded-beats-1-plus-two-more-stations/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
37,https://techcrunch.com/2020/08/18/attabotics-raises-a-50m-series-c-for-its-warehouse-fulfillment-robots/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
14,https://techcrunch.com/2020/08/18/attending-a-remote-startup-accelerator-is-absolutely-worth-it/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
0,https://techcrunch.com/2020/08/18/daydaycook-raises-20-million/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
39,https://techcrunch.com/2020/08/18/despite-booming-consumer-demand-vc-interest-in-e-commerce-startups-falls-in-2020/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
1,https://techcrunch.com/2020/08/18/dnc-first-virtual-convention/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
12,https://techcrunch.com/2020/08/18/google-maps-adds-street-level-details-in-select-cities-more-colorful-imagery-worldwide/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
15,https://techcrunch.com/2020/08/18/how-to-diagnose-and-treat-machine-learning-models-afflicted-by-covid-19/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
7,https://techcrunch.com/2020/08/18/if-oracle-buys-tiktok-ill-go-to-dannys-house-and-eat-his-annoying-stanford-sweatshirt/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
11,https://techcrunch.com/2020/08/18/indias-reliance-retail-acquires-a-majority-stake-in-online-pharmacy-nedmeds-for-83-2m/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
17,https://techcrunch.com/2020/08/18/invision-refreshes-its-design-system-manager-brings-on-eleanor-morgan-as-cpo/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
38,https://techcrunch.com/2020/08/18/movable-ink-raises-30m-as-it-expands-its-personalization-technology-beyond-email-marketing/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
6,https://techcrunch.com/2020/08/18/netflix-test-puts-a-shuffle-play-button-right-on-your-home-screen/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
19,https://techcrunch.com/2020/08/18/pandemic-helped-drive-walmart-e-commerce-sales-up-97-in-second-quarter/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
2,https://techcrunch.com/2020/08/18/persefoni-launches-with-3-5-million-and-a-carbon-accounting-system-for-big-business/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
13,https://techcrunch.com/2020/08/18/piggyback-on-popular-tweets-to-get-brand-awareness/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
5,https://techcrunch.com/2020/08/18/private-space-industrialization-is-here/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
10,https://techcrunch.com/2020/08/18/radio-flyer-teams-up-with-tesla-to-launch-a-tyke-sized-tesla-model-y/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
34,https://techcrunch.com/2020/08/18/samsung-galaxy-note-20-ultra-review/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
36,https://techcrunch.com/2020/08/18/social-capital-chamath-palihapitiyas-next-big-hustle/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
3,https://techcrunch.com/2020/08/18/spacex-funding/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
18,https://techcrunch.com/2020/08/18/spacex-raises-1-9-billion-in-largest-funding-found-to-date/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
54,https://techcrunch.com/2020/08/18/spacex-successfully-launches-11th-starlink-mission-using-record-setting-reused-falcon-9-booster/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
4,https://techcrunch.com/2020/08/18/the-journey-of-a-kids-book-startup-that-tackles-topics-like-racism-cancer-and-divorce/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
16,https://techcrunch.com/2020/08/18/the-right-way-to-downsize/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
9,https://techcrunch.com/2020/08/18/tiktoks-big-unitedmasters-deal-is-the-way-forward-for-creators-looking-to-secure-their-bag/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
8,https://techcrunch.com/2020/08/18/xos-trucks-raises-20m-to-put-more-of-its-electric-commercial-trucks-on-the-road/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
32,https://techcrunch.com/pages/extra-crunch-terms-of-service/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://techcrunch.com/sponsor/epos/why-what-is-the-most-expensive-word-in-business-how-outdated-tech-can-affect-remote-working-productivity/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
