,newsurl,newsrule
37,https://www.theatlantic.com/books/archive/2020/08/poem-franny-choi-catastrophe-next-godliness/615286/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
39,https://www.theatlantic.com/books/archive/2020/08/yaa-gyasi-new-fiction-when-my-mother-came-stay/614938/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
38,https://www.theatlantic.com/books/archive/2020/08/yaa-gyasi-when-my-mother-came-stay-interview/614941/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
41,https://www.theatlantic.com/business/archive/2020/06/three-degrees-racism-america/613333/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
31,https://www.theatlantic.com/culture/archive/2020/08/beyonce-black-is-king/615304/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
28,https://www.theatlantic.com/culture/archive/2020/08/boys-state-documentary/615307/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
32,https://www.theatlantic.com/culture/archive/2020/08/lovecraft-country/615259/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
46,https://www.theatlantic.com/education/archive/2020/07/how-atlas-program-helps-students-trauma/614671/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
47,https://www.theatlantic.com/education/archive/2020/07/reality-pedagogy-teaching-form-protest/614554/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
45,https://www.theatlantic.com/education/archive/2020/08/how-show-kids-joy-reading/615109/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
40,https://www.theatlantic.com/family/archive/2020/08/guide-exploring-religious-faith-adult/615220/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
23,https://www.theatlantic.com/family/archive/2020/08/i-love-my-girlfriend-but-i-asked-her-to-move-out/615241/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
27,https://www.theatlantic.com/family/archive/2020/08/pandemic-habits-behaviors-great-depression-wash-hands/615283/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
8,https://www.theatlantic.com/health/archive/2020/08/hospitals-should-follow-the-bodys-biological-clock/615340/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
5,https://www.theatlantic.com/health/archive/2020/08/how-to-test-every-american-for-covid-19-every-day/615217/,"^.*\/[0-9]{4}\/[0-9]{2}\/[0-9a-z.\/_?=-]{4,}$"
