,newsurl,newsrule
37,https://www.theverge.com/2020/8/16/21370828/uber-lyft-california-shutdown-drivers-classify-ballot-prop-22,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
20,https://www.theverge.com/2020/8/17/21369460/apple-fortnite-app-store-services-business-model-epic-games,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
0,https://www.theverge.com/2020/8/17/21373108/apple-response-epic-app-store-fortnite-lawsuit,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
11,https://www.theverge.com/2020/8/18/21372322/instagram-qr-code-launch-global-nametag,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
3,https://www.theverge.com/2020/8/18/21372435/oculus-facebook-login-change-separate-account-support-end-quest-october,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
47,https://www.theverge.com/2020/8/18/21372531/nvidia-geforce-now-cloud-gaming-service-chromebook-chrome-os,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
50,https://www.theverge.com/2020/8/18/21373332/samsung-galaxy-s20-fan-edition-affordable-hole-punch-notch-triple-camera,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
46,https://www.theverge.com/2020/8/18/21373335/faster-mri-scans-ai-machine-learning-facebook-nyu-research-clinical-study,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
49,https://www.theverge.com/2020/8/18/21373338/apple-music-stations-radio-country-hits-beats-1,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
45,https://www.theverge.com/2020/8/18/21373356/spacex-falcon-9-rocket-launch-time-starlink-satellites-watch-live,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
39,https://www.theverge.com/2020/8/18/21373363/google-maps-redesign-detail-natural-features-environment,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
34,https://www.theverge.com/2020/8/18/21373482/unc-covid-outbreak-students-home-testing-university,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
36,https://www.theverge.com/2020/8/18/21373530/robert-kennedy-childrens-health-defense-facebook-zuckerberg-fact-checking-lawsuit,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
33,https://www.theverge.com/2020/8/18/21373538/magic-prime-slime-secret-lair-amazing-punk-art,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
31,https://www.theverge.com/2020/8/18/21373719/lenovo-yoga-7i-6-convertible-laptops-intel-amd-processors-windows,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
35,https://www.theverge.com/2020/8/18/21373744/untitled-goose-game-co-op-mode-free,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
9,https://www.theverge.com/2020/8/18/21373746/nintendo-indie-world-showcase-switch-trailers-grindstone-hades-goose-game,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
29,https://www.theverge.com/2020/8/18/21373871/tesla-owners-california-reduce-charging-supercharging-heat-wave,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
