,nonnewsurl,blackrule
14,https://www.theverge.com/podcasts,^.*podcast.*$
0,#content,diff domain
146,#icon-facebook,diff domain
154,#icon-hamburger,diff domain
153,#icon-norgie-down,diff domain
148,#icon-rss,diff domain
152,#icon-search,diff domain
147,#icon-twitter,diff domain
150,#icon-user,diff domain
54,art-club,diff domain
42,http://bit.ly/2FqJZMl,diff domain
129,https://cdn.vox-cdn.com/shared_fonts/unison/unison_base/nittigrotesk/nittigrotesk-normal.woff2,diff domain
130,https://cdn.vox-cdn.com/shared_fonts/unison/verge/AdelleSans-Italic.woff2,diff domain
131,https://cdn.vox-cdn.com/shared_fonts/unison/verge/AdelleSans-Semibold.woff2,diff domain
134,https://cdn.vox-cdn.com/shared_fonts/unison/verge/heroic-cond-vrg-web-ltd-bd-obq.woff2,diff domain
135,https://cdn.vox-cdn.com/shared_fonts/unison/verge/heroic-cond-vrg-web-ltd-hvy.woff2,diff domain
132,https://cdn.vox-cdn.com/shared_fonts/unison/verge/heroic-cond-vrg-web-ltd-md-obq.woff2,diff domain
133,https://cdn.vox-cdn.com/shared_fonts/unison/verge/heroic-cond-vrg-web-ltd-md.woff2,diff domain
136,https://cdn.vox-cdn.com/shared_fonts/unison/verge/pathways-normal-webfont.woff2,diff domain
143,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395351/android-chrome-192x192.0.png,diff domain
144,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395359/ios-icon.0.png,diff domain
139,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395361/favicon-64x64.0.ico,diff domain
141,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395363/favicon-32x32.0.png,diff domain
142,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395365/favicon-96x96.0.png,diff domain
140,https://cdn.vox-cdn.com/uploads/chorus_asset/file/7395367/favicon-16x16.0.png,diff domain
12,https://goo.gl/G5RXGs,diff domain
128,https://jobs.voxmedia.com,diff domain
137,https://match.adsrvr.org/track/rid?ttd_pid=gs8reto\u0026fmt=json,diff domain
121,https://status.voxmedia.com,diff domain
3,https://twitter.com/verge,diff domain
2,https://www.facebook.com/verge,diff domain
126,https://www.voxmedia.com,diff domain
114,https://www.voxmedia.com/careers,diff domain
120,https://www.voxmedia.com/legal/accessibility,diff domain
117,https://www.voxmedia.com/legal/cookie-policy,diff domain
90,https://www.voxmedia.com/legal/privacy-notice,diff domain
116,https://www.voxmedia.com/legal/terms-of-use,diff domain
119,https://www.voxmedia.com/pages/licensing,diff domain
127,https://www.voxmedia.com/vox-advertising,diff domain
149,https://auth.voxmedia.com/login?community_id=372&amp;return_to=https%3A%2F%2Fwww.theverge.com%2F,not in formula RIP
5,https://auth.voxmedia.com/login?community_id=372&return_to=https%3A%2F%2Fwww.theverge.com%2F,not in formula RIP
151,https://auth.voxmedia.com/signup?community_id=372&amp;return_to=https%3A%2F%2Fwww.theverge.com%2F,not in formula RIP
6,https://auth.voxmedia.com/signup?community_id=372&return_to=https%3A%2F%2Fwww.theverge.com%2F,not in formula RIP
1,https://www.theverge.com/,not in formula RIP
99,https://www.theverge.com/2020/8/16/21370828/uber-lyft-california-shutdown-drivers-classify-ballot-prop-22#comments,not in formula RIP
86,https://www.theverge.com/2020/8/17/21369460/apple-fortnite-app-store-services-business-model-epic-games#comments,not in formula RIP
111,https://www.theverge.com/2020/8/18/21372531/nvidia-geforce-now-cloud-gaming-service-chromebook-chrome-os#comments,not in formula RIP
113,https://www.theverge.com/2020/8/18/21373332/samsung-galaxy-s20-fan-edition-affordable-hole-punch-notch-triple-camera#comments,not in formula RIP
110,https://www.theverge.com/2020/8/18/21373335/faster-mri-scans-ai-machine-learning-facebook-nyu-research-clinical-study#comments,not in formula RIP
112,https://www.theverge.com/2020/8/18/21373338/apple-music-stations-radio-country-hits-beats-1#comments,not in formula RIP
108,https://www.theverge.com/2020/8/18/21373356/spacex-falcon-9-rocket-launch-time-starlink-satellites-watch-live#comments,not in formula RIP
101,https://www.theverge.com/2020/8/18/21373363/google-maps-redesign-detail-natural-features-environment#comments,not in formula RIP
