,newsurl,newsrule
12,http://townhall.com/columnists/billmurchison/2020/08/18/time-for-moral-pushback-n2574528,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
6,http://townhall.com/columnists/dennisprager/2020/08/18/everything-the-left-touches-it-ruins-now-add-science-n2574546,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
5,http://townhall.com/columnists/derekhunter/2020/08/18/the-rerehabilitation-of-the-clintons-n2574509,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
13,http://townhall.com/columnists/jasonkillmeyer/2020/08/18/the-contested-election-narrative-solidifies-part-2-n2574503,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
9,http://townhall.com/columnists/jeffballabon/2020/08/18/the-middle-east-is-listening-to-america-n2574510,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
11,http://townhall.com/columnists/lawrencemeyers/2020/08/18/one-size-covid19-policy-does-not-fit-all-n2574513,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
4,http://townhall.com/columnists/mattvespa/2020/08/18/we-should-be-thankful-that-the-dnc-is-only-airing-two-hours-of-coverage-per-night-n2574551,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
10,http://townhall.com/columnists/patbuchanan/2020/08/18/the-progressive-racism-of-the-ivy-league-n2574524,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
8,http://townhall.com/columnists/stephenmoore/2020/08/18/vshaped-economic-recovery-requires-freer-trade-not-tariffs-n2574522,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
7,http://townhall.com/columnists/toddstarnes/2020/08/18/michelle-obama-has-a-raging-case-of-trump-derangement-syndrome-n2574575,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
14,http://townhall.com/political-cartoons/2020/08/18/176025?hpnl=true,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
21,http://townhall.com/tipsheet/cortneyobrien/2020/08/18/gov-cuomo-is-now-writing-a-book-about-how-ny-handled-the-pandemic-n2574555,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
20,http://townhall.com/tipsheet/elliebufkin/2020/08/18/fact-check-the-left-here-are-the-top-lies-told-by-democrats-during-the-first-night-of-the-dnc-n2574567,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
