,nonnewsurl,blackrule
111,https://media.townhall.com/thm/favicon/android-chrome-192x192.png,^.*.png.*$
103,https://media.townhall.com/thm/favicon/apple-touch-icon-114x114.png,^.*.png.*$
104,https://media.townhall.com/thm/favicon/apple-touch-icon-120x120.png,^.*.png.*$
105,https://media.townhall.com/thm/favicon/apple-touch-icon-144x144.png,^.*.png.*$
106,https://media.townhall.com/thm/favicon/apple-touch-icon-152x152.png,^.*.png.*$
107,https://media.townhall.com/thm/favicon/apple-touch-icon-180x180.png,^.*.png.*$
99,https://media.townhall.com/thm/favicon/apple-touch-icon-57x57.png,^.*.png.*$
100,https://media.townhall.com/thm/favicon/apple-touch-icon-60x60.png,^.*.png.*$
101,https://media.townhall.com/thm/favicon/apple-touch-icon-72x72.png,^.*.png.*$
102,https://media.townhall.com/thm/favicon/apple-touch-icon-76x76.png,^.*.png.*$
108,https://media.townhall.com/thm/favicon/favicon-16x16.png,^.*.png.*$
109,https://media.townhall.com/thm/favicon/favicon-32x32.png,^.*.png.*$
110,https://media.townhall.com/thm/favicon/favicon-96x96.png,^.*.png.*$
84,http://townhall.com/contact-us/,^.*contact-us.*$
69,http://townhall.com/podcasts,^.*podcast.*$
6,http://townhall.com/podcasts/,^.*podcast.*$
30,https://townhall.com/tipsheet/townhallcomstaff/2020/08/18/war-for-the-white-house-podcast-democratic-national-convention-night-one-recap-n2574603,^.*podcast.*$
16,#,diff domain
31,elliebufkin,diff domain
23,http://bearingarms.com,diff domain
21,http://hotair.com,diff domain
22,http://pjmedia.com,diff domain
25,http://redstate.com,diff domain
77,http://townhallmedia.com/,diff domain
24,http://twitchy.com,diff domain
27,http://www.conservativeradio.com/,diff domain
95,https://ad.doubleclick.net,diff domain
63,https://bearingarms.com,diff domain
96,https://c.amazon-adsystem.com,diff domain
88,https://cdnjs.cloudflare.com,diff domain
90,https://experience.tinypass.com,diff domain
11,https://facebook.com/townhallcom,diff domain
62,https://hotair.com,diff domain
89,https://ib.adnxs.com,diff domain
94,https://pagead2.googlesyndication.com,diff domain
66,https://pjmedia.com,diff domain
93,https://prebid.adnxs.com,diff domain
65,https://redstate.com,diff domain
80,https://salemmedia.com/ccpa-sale-opt-out/,diff domain
81,https://salemmedia.com/townhall-media-ccpa-privacy-notice-for-california-residents/,diff domain
79,https://salemmedia.com/townhall-media-privacy-policy/,diff domain
64,https://twitchy.com,diff domain
12,https://twitter.com/townhallcom,diff domain
91,https://www.googletagservices.com,diff domain
26,http://finance.townhall.com,not in formula RIP
0,http://townhall.com/,not in formula RIP
76,http://townhall.com/aboutus,not in formula RIP
14,http://townhall.com/account/,not in formula RIP
