,newsurl,newsrule
15,https://www.truthdig.com/articles/17-years-later-the-consequences-of-invading-iraq/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
22,https://www.truthdig.com/articles/a-giant-step-forward-for-women-in-australian-soccer/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.truthdig.com/articles/american-society-would-collapse-if-it-werent-for-these-8-myths/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.truthdig.com/articles/an-open-letter-from-truthdigs-publisher-ceo-breaking-my-silence/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
20,https://www.truthdig.com/articles/as-coronavirus-outbreak-intensifies-trump-puts-big-oil-interests-ahead-of-american-families/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
19,https://www.truthdig.com/articles/black-plague-spanish-flu-smallpox-all-hold-lessons-for-coronavirus/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
23,https://www.truthdig.com/articles/coronavirus-the-frozen-primary-and-a-reset-to-2016-how-bernies-political-revolution-can-still-get-back-on-track/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.truthdig.com/articles/if-trump-declares-martial-law-due-to-coronavirus-can-he-suspend-the-election/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.truthdig.com/articles/imagining-a-new-world-on-the-other-side-of-the-pandemic/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
18,https://www.truthdig.com/articles/inside-the-pro-trump-facebook-group-where-first-responders-call-coronavirus-a-hoax/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.truthdig.com/articles/not-giving-up-on-happiness-care-of-the-self-and-well-being-in-a-plague-year/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
21,https://www.truthdig.com/articles/renewable-energy-could-power-the-world-by-2050/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.truthdig.com/articles/senator-dumped-up-to-1-7-million-of-stock-after-reassuring-public-about-coronavirus-preparedness/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
24,https://www.truthdig.com/articles/the-coronavirus-pandemic-proves-that-we-can-overcome-the-climate-crisis-if-we-want-to/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.truthdig.com/articles/the-egregious-lie-americans-tell-themselves/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.truthdig.com/articles/the-pentagon-cant-account-for-21-trillion/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
16,https://www.truthdig.com/articles/the-unaccountable-nation/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
10,https://www.truthdig.com/articles/this-recession-calls-for-a-bigger-greener-stimulus/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
14,https://www.truthdig.com/articles/trump-uses-coronavirus-to-spread-racism/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.truthdig.com/articles/we-were-warned-about-barack-obama-by-obama-himself/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
17,https://www.truthdig.com/articles/were-winding-down-the-war-on-weed-but-not-fast-enough/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
13,https://www.truthdig.com/articles/why-america-cant-respond-to-the-current-crisis/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.truthdig.com/cartoons/health-care-workers-and-covid-19/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.truthdig.com/countering-violence-against-women,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.truthdig.com/nominate-a-truthdigger-of-the-week/,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
