,nonnewsurl,blackrule
121,http://www.truthdig.com/android-chrome-192x192.png,^.*.png.*$
118,http://www.truthdig.com/apple-touch-icon.png,^.*.png.*$
122,http://www.truthdig.com/favicon-16x16.png,^.*.png.*$
120,http://www.truthdig.com/favicon-194x194.png,^.*.png.*$
119,http://www.truthdig.com/favicon-32x32.png,^.*.png.*$
117,https://www.truthdig.com/wp-content/uploads/2018/01/cropped-truthdig_td_favicon512-180x180.png,^.*.png.*$
116,https://www.truthdig.com/wp-content/uploads/2018/01/cropped-truthdig_td_favicon512-192x192.png,^.*.png.*$
115,https://www.truthdig.com/wp-content/uploads/2018/01/cropped-truthdig_td_favicon512-32x32.png,^.*.png.*$
106,https://www.truthdig.com/wp-content/uploads/2019/10/truthdig_logo.png,^.*.png.*$
98,https://www.truthdig.com/privacy-policy/,^.*privacy-policy.*$
80,,diff domain
2,#,diff domain
99,#tab-modalLogin-0,diff domain
100,#tab-modalLogin-1,diff domain
101,#tab-modalLogin-2,diff domain
104,#wrapper,diff domain
108,ads.vidoomy.com,diff domain
72,http://www.facebook.com/Truthdig,diff domain
88,https://climatenewsnetwork.net/renewable-energy-could-power-the-world-by-2050/,diff domain
133,https://fonts.googleapis.com/css?family=Berkshire+Swash&display=swap,diff domain
73,https://twitter.com/Truthdig,diff domain
71,https://www.cafepress.com/truthdig,diff domain
87,https://www.commondreams.org/news/2020/03/13/shock-doctrine-press-conference-trump-bails-out-oil-industry-not-us-families,diff domain
74,https://www.instagram.com/truthdig/,diff domain
109,s.w.org,diff domain
107,www.google.com,diff domain
70,http://freshstore.truthdig.com/,not in formula RIP
130,http://www.truthdig.com/assets/images/sprite.svg#arrow--left-thin,not in formula RIP
129,http://www.truthdig.com/assets/images/sprite.svg#arrow--right-thin,not in formula RIP
62,http://www.truthdig.com/cartoons,not in formula RIP
41,http://www.truthdig.com/group/ear-to-the-ground/,not in formula RIP
57,http://www.truthdig.com/multimedia,not in formula RIP
27,http://www.truthdig.com/opinion,not in formula RIP
123,http://www.truthdig.com/safari-pinned-tab.svg,not in formula RIP
55,http://www.truthdig.com/scrapbook,not in formula RIP
49,http://www.truthdig.com/td-originals,not in formula RIP
61,http://www.truthdig.com/videos,not in formula RIP
102,https://accounts.google.com/o/oauth2/auth?response_type=code&redirect_uri=https%3A%2F%2Fwww.truthdig.com%2Fwp-admin%2Fadmin-ajax.php%3Faction%3Dtruthdig_glogin&client_id=1089531985036-6t4bg23g0p2qv0qci1etcnnup32cmm4q.apps.googleusercontent.com&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fplus.me+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile&access_type=online&approval_prompt=auto,not in formula RIP
0,https://www.truthdig.com,not in formula RIP
105,https://www.truthdig.com/,not in formula RIP
4,https://www.truthdig.com/?bucket=activism,not in formula RIP
5,https://www.truthdig.com/?bucket=belief-religion,not in formula RIP
6,https://www.truthdig.com/?bucket=economy-business,not in formula RIP
7,https://www.truthdig.com/?bucket=education,not in formula RIP
8,https://www.truthdig.com/?bucket=environment,not in formula RIP
9,https://www.truthdig.com/?bucket=health,not in formula RIP
10,https://www.truthdig.com/?bucket=history,not in formula RIP
