,newsurl,newsrule
25,https://www.usatoday.com/in-depth/graphics/2020/03/10/us-coronavirus-map-tracking-united-states-outbreak/4945223002/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
27,https://www.usatoday.com/in-depth/life/women-of-the-century/2020/08/13/19th-amendment-anniversary-timeline-celebrates-womens-suffrage/1761837002/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
38,https://www.usatoday.com/in-depth/life/women-of-the-century/2020/08/13/19th-amendment-women-succeed-grit-rita-moreno-billie-jean-king/3331178001/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
24,https://www.usatoday.com/in-depth/life/women-of-the-century/2020/08/13/history-constitution-19th-amendment-woman-voting-rights-100-years/4939990002/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
2,https://www.usatoday.com/in-depth/news/2020/07/24/thinking-returning-gym-tips-work-out-safely-during-covid-19/5480926002/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
1,https://www.usatoday.com/in-depth/news/politics/elections/2020/08/18/where-you-can-vote-mail-absentee-ballot-2020-election/3387044001/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
35,https://www.usatoday.com/story/entertainment/celebrities/2020/08/18/ben-cross-chariots-fire-star-dies-age-72-reports/5604956002/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
36,https://www.usatoday.com/story/entertainment/celebrities/2020/08/18/new-cuba-gooding-jr-accuser-suit-says-he-raped-her-ny-hotel-2013/3393525001/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
39,https://www.usatoday.com/story/entertainment/movies/2020/08/13/15-things-we-miss-most-about-going-movie-theaters/3360921001/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
51,https://www.usatoday.com/story/life/2020/04/10/staying-apart-together-newsletter-help-us-cope-coronavirus/2953992001/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
