,newsurl,newsrule
82,https://www.veteranstoday.com/2018/01/05/winston-churchills-darkest-hour/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
81,https://www.veteranstoday.com/2018/01/07/review-the-jesuit-order-as-a-synagogue-of-jews-part-one/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
85,https://www.veteranstoday.com/2018/01/22/thorough-search-for-land-mines-unearth-ancient-byzantine-mosaics/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
84,https://www.veteranstoday.com/2018/04/08/proof-intel-drop-trump-bolton-behind-syria-chemical-attacks-confirmed/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
93,https://www.veteranstoday.com/2019/03/18/undeniable-proof-cgi-used-in-new-zealand-shooting/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
94,https://www.veteranstoday.com/2019/08/02/3-year-old-girl-gang-raped-and-beheaded-epstein-was-nowhere-around-for-this-one/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
89,https://www.veteranstoday.com/2019/08/10/epstein-not-dead-on-his-way-to-israel-or-now-in-the-presidential-suite-in-the-deep-underground-military-base-dumb-at-area-51-we-do-not-make-this-shit-up/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
86,https://www.veteranstoday.com/2019/09/01/murdered-for-speaking-out-last-words-of-david-goldberg-warning-of-mass-murder-of-americans/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
88,https://www.veteranstoday.com/2019/10/29/exclusive-russia-says-bagdadi-killing-faked-by-us-part-of-new-move-against-the-region-by-deep-state/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
95,https://www.veteranstoday.com/2020/02/22/sports-betting-as-a-veteran-in-2020-key-facts-to-know/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
