,newsurl,newsrule
10,https://www.vice.com/en_us/article/3azjzv/covid-19-is-proof-of-just-how-socially-determined-health-is,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
6,https://www.vice.com/en_us/article/5dz4pk/sorority-houses-covid-19-rules-pi-beta-phi-oklahoma-hotspot,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
11,https://www.vice.com/en_us/article/7kpe3b/the-star-of-plandemic-spent-years-flooding-the-vaccine-court-system-with-bad-science,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
8,https://www.vice.com/en_us/article/7kpqpg/a-black-state-senator-could-go-to-jail-for-injuring-a-racist-monument,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
3,https://www.vice.com/en_us/article/dyzeza/california-dmv-data-private-investigators,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
1,https://www.vice.com/en_us/article/dyzknx/how-to-argue-with-a-narcissist,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
5,https://www.vice.com/en_us/article/jgxky7/packed-pool-party-festival-wuhan-china-coronavirus,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
7,https://www.vice.com/en_us/article/m7j4j4/trump-just-pardoned-susan-b-anthony-who-has-been-dead-for-114-years,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
2,https://www.vice.com/en_us/article/pkywdz/introducing-the-mail-a-newsletter-and-zine-about-the-usps,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
9,https://www.vice.com/en_us/article/v7gjgb/he-cannot-meet-this-moment-watch-michelle-obamas-all-out-attack-on-trump,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
12,https://www.vice.com/en_us/article/y3zbyj/brain-science-is-ignoring-left-handed-people,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
4,https://www.vice.com/en_us/article/z3ekve/chainsaws-conspiracies-and-cops-inside-a-toronto-anti-mask-dance-party,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
0,https://www.vice.com/en_us/page/vice-responsible-disclosure-policy,"^.*\/[0-9a-z-]+-[0-9a-z-]{20,}\/?$"
