,nonnewsurl,blackrule
48,,diff domain
18,article150341.html,diff domain
19,article161186.html,diff domain
153,article183803.html,diff domain
90,article187657.html,diff domain
89,article187658.html,diff domain
60,article188325.html,diff domain
108,article194602.html,diff domain
87,article195759.html,diff domain
107,article196084.html,diff domain
155,article198141.html,diff domain
86,article199463.html,diff domain
85,article199882.html,diff domain
59,article200515.html,diff domain
154,article202294.html,diff domain
147,article204295.html,diff domain
146,article204513.html,diff domain
145,article205520.html,diff domain
106,article206055.html,diff domain
58,article206056.html,diff domain
88,article206059.html,diff domain
148,article206061.html,diff domain
117,article207376.html,diff domain
116,article207385.html,diff domain
138,article208796.html,diff domain
120,article208797.html,diff domain
132,article209157.html,diff domain
131,article209172.html,diff domain
130,article209207.html,diff domain
127,article209358.html,diff domain
129,article209525.html,diff domain
128,article209575.html,diff domain
57,article209786.html,diff domain
81,article210089.html,diff domain
111,article210190.html,diff domain
72,article210209.html,diff domain
71,article210234.html,diff domain
160,article210278.html,diff domain
80,article210287.html,diff domain
156,article210291.html,diff domain
115,article210331.html,diff domain
43,article210384.html,diff domain
119,article210386.html,diff domain
118,article210387.html,diff domain
137,article210388.html,diff domain
136,article210389.html,diff domain
105,article210403.html,diff domain
110,article210465.html,diff domain
104,article210476.html,diff domain
158,article210490.html,diff domain
157,article210521.html,diff domain
42,article210522.html,diff domain
84,article210530.html,diff domain
83,article210531.html,diff domain
82,article210532.html,diff domain
91,article210556.html,diff domain
113,article210567.html,diff domain
114,article210578.html,diff domain
159,article210581.html,diff domain
56,article210588.html,diff domain
112,article210603.html,diff domain
126,article210614.html,diff domain
123,article210615.html,diff domain
92,article210622.html,diff domain
46,article210627.html,diff domain
45,article210631.html,diff domain
47,article210632.html,diff domain
36,article210638.html,diff domain
63,article210640.html,diff domain
40,article210645.html,diff domain
124,article210650.html,diff domain
125,article210651.html,diff domain
122,article210652.html,diff domain
54,article210653.html,diff domain
53,article210654.html,diff domain
52,article210655.html,diff domain
102,article210656.html,diff domain
144,article210657.html,diff domain
66,article210658.html,diff domain
96,article210662.html,diff domain
35,article210665.html,diff domain
70,article210666.html,diff domain
65,article210667.html,diff domain
101,article210668.html,diff domain
143,article210669.html,diff domain
95,article210670.html,diff domain
34,article210671.html,diff domain
93,article210672.html,diff domain
78,article210673.html,diff domain
75,article210674.html,diff domain
94,article210676.html,diff domain
62,article210677.html,diff domain
99,article210678.html,diff domain
39,article210679.html,diff domain
79,article210680.html,diff domain
33,article210681.html,diff domain
64,article210682.html,diff domain
100,article210683.html,diff domain
77,article210684.html,diff domain
69,article210685.html,diff domain
103,article210686.html,diff domain
109,article210687.html,diff domain
51,article210688.html,diff domain
141,article210689.html,diff domain
135,article210690.html,diff domain
55,article210691.html,diff domain
74,article210692.html,diff domain
37,article210695.html,diff domain
140,article210696.html,diff domain
61,article210697.html,diff domain
68,article210698.html,diff domain
98,article210699.html,diff domain
121,article210700.html,diff domain
152,article210701.html,diff domain
151,article210702.html,diff domain
150,article210703.html,diff domain
50,article210704.html,diff domain
134,article210705.html,diff domain
73,article210706.html,diff domain
49,article210707.html,diff domain
139,article210708.html,diff domain
97,article210709.html,diff domain
67,article210710.html,diff domain
133,article210711.html,diff domain
142,article210712.html,diff domain
149,article210713.html,diff domain
76,article210714.html,diff domain
172,https://fonts.googleapis.com/css?family=Bitter,diff domain
173,"https://fonts.googleapis.com/css?family=Source+Sans+Pro:200,300,400",diff domain
21,javascript:;,diff domain
38,mot108.html?lang=en,diff domain
164,prive/spip_style.css,diff domain
32,rubrique1.html?lang=en,diff domain
23,rubrique120359.html?lang=en,diff domain
26,rubrique120360.html?lang=en,diff domain
24,rubrique120361.html?lang=en,diff domain
25,rubrique120921.html?lang=en,diff domain
22,rubrique30002.html?lang=en,diff domain
27,spip.php?page=mot-groupe&id_groupe=13&lang=en,diff domain
28,spip.php?page=mot-groupe&id_groupe=19&lang=en,diff domain
29,spip.php?page=mot-groupe&id_groupe=28&lang=en,diff domain
30,spip.php?page=mot-groupe&id_groupe=31&lang=en,diff domain
31,spip.php?page=mot-groupe&id_groupe=32&lang=en,diff domain
41,spip.php?page=rubrique&id_rubrique=120361&lang=en,diff domain
44,spip.php?page=rubrique&id_rubrique=120921&lang=en,diff domain
165,squelettes-dist/spip_formulaires.css,diff domain
163,squelettes/elements/images/favicon.ico,diff domain
174,squelettes/elements/jquery.bxslider/bx_styles/bx_styles.css,diff domain
195,squelettes/elements/jquery.superfish/superfish.css,diff domain
171,squelettes/voltaire_print.css,diff domain
170,squelettes/voltaire_screen.css,diff domain
169,squelettes/voltaire_structure.css,diff domain
167,squelettes/voltaire_structure_ie6.css,diff domain
166,squelettes/voltaire_structure_ie7.css,diff domain
168,squelettes/voltaire_typographie.css,diff domain
161,https://www.voltairenet.org,not in formula RIP
1,https://www.voltairenet.org/ar,not in formula RIP
2,https://www.voltairenet.org/cs,not in formula RIP
3,https://www.voltairenet.org/de,not in formula RIP
4,https://www.voltairenet.org/el,not in formula RIP
0,https://www.voltairenet.org/en,not in formula RIP
5,https://www.voltairenet.org/es,not in formula RIP
6,https://www.voltairenet.org/fa,not in formula RIP
7,https://www.voltairenet.org/fi,not in formula RIP
8,https://www.voltairenet.org/fr,not in formula RIP
9,https://www.voltairenet.org/it,not in formula RIP
10,https://www.voltairenet.org/nl,not in formula RIP
11,https://www.voltairenet.org/no,not in formula RIP
12,https://www.voltairenet.org/pl,not in formula RIP
13,https://www.voltairenet.org/pt,not in formula RIP
14,https://www.voltairenet.org/ro,not in formula RIP
15,https://www.voltairenet.org/ru,not in formula RIP
175,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=ar,not in formula RIP
176,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=cs,not in formula RIP
177,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=de,not in formula RIP
178,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=el,not in formula RIP
20,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=en,not in formula RIP
179,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=es,not in formula RIP
180,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=fa,not in formula RIP
181,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=fi,not in formula RIP
182,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=fr,not in formula RIP
194,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=hy,not in formula RIP
183,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=it,not in formula RIP
184,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=ja,not in formula RIP
185,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=nl,not in formula RIP
186,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=no,not in formula RIP
187,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=pl,not in formula RIP
188,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=pt,not in formula RIP
189,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=ro,not in formula RIP
190,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=ru,not in formula RIP
191,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=sr,not in formula RIP
192,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=tr,not in formula RIP
193,https://www.voltairenet.org/spip.php?page=backend&id_secteur=1110&lang=zh,not in formula RIP
162,https://www.voltairenet.org/spip.php?page=recherche,not in formula RIP
16,https://www.voltairenet.org/tr,not in formula RIP
17,https://www.voltairenet.org/zh,not in formula RIP
