,newsurl,newsrule
51,https://www.vox.com/2018/12/7/18113237/ethics-and-guidelines-at-vox-com,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
18,https://www.vox.com/2019/6/26/18693259/2020-presidential-election-calendar-primaries,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
15,https://www.vox.com/2019/9/16/20861003/free-online-crossword-vox,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
8,https://www.vox.com/2020/4/8/21212928/voxs-audience-support-program-explained,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
29,https://www.vox.com/2020/6/30/21295779/trump-system-failure,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
2,https://www.vox.com/2020/8/11/21362326/democratic-national-convention-schedule-speaker-lineup-how-to-watch-streaming,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
50,https://www.vox.com/2020/8/17/21365350/kanye-west-for-president-2020-trump-ballot,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
47,https://www.vox.com/2020/8/17/21369922/democratic-convention-dnc-speeches-lineup,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
44,https://www.vox.com/2020/8/17/21371232/convention-polls-biden-trump-election,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
41,https://www.vox.com/2020/8/17/21371822/covid-19-prevention-kids-georgia-mississippi-texas,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
43,https://www.vox.com/2020/8/17/21371827/covid-19-coronavirus-update-prone-position-dexamethasone-remdesivir-ventilators,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
40,https://www.vox.com/2020/8/17/21372012/trump-biden-cnn-poll-dnc,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
39,https://www.vox.com/2020/8/17/21372550/republican-speakers-dnc-kasich-whitman-molinari,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
38,https://www.vox.com/2020/8/17/21373104/kristin-urquiza-coronavirus-dnc-trump,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
37,https://www.vox.com/2020/8/17/21373196/john-kasich-dnc-speech-transcript,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
5,https://www.vox.com/2020/8/18/21322685/democratic-convention-platform-controversy,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
14,https://www.vox.com/2020/8/18/21334630/joe-biden-foreign-policy-explainer-dnc,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
1,https://www.vox.com/2020/8/18/21358913/19th-amendment-ratified-anniversary-women-suffrage-vote,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
28,https://www.vox.com/2020/8/18/21366388/osha-worker-safety-trump,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
9,https://www.vox.com/2020/8/18/21372052/alaska-senate-house-races-2020-sullivan-young,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
33,https://www.vox.com/2020/8/18/21372966/5-winners-2-losers-monday-democratic-national-convention,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
34,https://www.vox.com/2020/8/18/21373174/michelle-obama-dnc-speech-trump,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
36,https://www.vox.com/2020/8/18/21373177/michelle-obama-dnc-2020-speech-voting-post-office,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
32,https://www.vox.com/2020/8/18/21373187/democratic-national-convention-2020-biden-sanders-michelle-obama-trump,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
35,https://www.vox.com/2020/8/18/21373190/bernie-sanders-progressive-case-for-joe-biden-democratic-national-convention-transcript,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
21,https://www.vox.com/2020/8/18/21373488/michelle-obama-speech-democratic-national-convention-2020,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
13,https://www.vox.com/2020/8/18/21373553/dnc-night-one-system-isnt-broken-democratic-national-convention-biden-obama-trump,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
6,https://www.vox.com/2020/8/18/21373634/senate-intelligence-committee-russia-trump-report,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
0,https://www.vox.com/2020/8/18/21373922/dnc-2020-george-floyd-brother-eric-garner-mother,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
3,https://www.vox.com/2020/8/18/21374014/post-office-usps-louis-dejoy-statement-trump-mail-in-voting,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
46,https://www.vox.com/culture/2020/8/17/21366621/nba-basketball-disney-mlb-baseball-nhl-hockey-covid-sports-bubble-tv,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
45,https://www.vox.com/energy-and-environment/2020/8/17/21370732/carbon-tax-simple-useful-nt2nz,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
48,https://www.vox.com/first-person/2020/8/17/21365327/coronavirus-covid-19-housing-apartment-rentals,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
10,https://www.vox.com/policy-and-politics/2020/8/17/21362345/florida-2020-primaries-house-races,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
