,newsurl,newsrule
40,https://washingtonpost.com/media/2020/08/18/how-do-you-sleep-night-cnns-anderson-cooper-thrashes-my-pillow-ceo-over-dubious-coronavirus-drug/?tid=pm_pop&itid=pm_pop,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
41,https://washingtonpost.com/opinions/2020/08/18/justice-departments-extreme-legal-arguments-are-costing-it-court/?tid=pm_pop&itid=pm_pop,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
39,https://washingtonpost.com/opinions/2020/08/18/trumps-unhinged-twitter-meltdown-shows-michelle-obama-drew-blood/?tid=pm_pop&itid=pm_pop,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
38,https://washingtonpost.com/politics/rep-ocasio-cortezs-convention-speech-to-serve-as-warning-to-democratic-establishment-and-biden/2020/08/18/28c3d34a-e155-11ea-8dd2-d07812bf00f7_story.html?tid=pm_pop&itid=pm_pop,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
42,https://washingtonpost.com/politics/the-security-guard-blurted-i-love-you-to-joe-biden-in-an-elevator-one-viral-video-later-she-will-nominate-him-for-president/2020/08/18/df652f04-e178-11ea-b69b-64f7b0477ed4_story.html?tid=pm_pop&itid=pm_pop,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
147,https://www.washingtonpost.com/brand-studio/wp/2019/07/09/feature/are-silos-stalling-innovation-at-your-company-heres-how-to-solve-the-problem/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
145,https://www.washingtonpost.com/brand-studio/wp/2020/06/03/feature/take-this-7-step-financial-wellness-check-in/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
146,https://www.washingtonpost.com/brand-studio/wp/2020/06/10/less-time-is-more/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
80,https://www.washingtonpost.com/business/2020/08/18/nbc-vicechair-meyer-fired/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
77,https://www.washingtonpost.com/business/2020/08/18/stocks-economy-coronavirus/,"^.*\/[0-9]{4}\/[0-9]{1,2}\/[0-9]{1,2}\/[0-9a-z.\/_?=&-]+$"
