,nonnewsurl,blackrule
185,https://www.wsj.com/podcasts,^.*podcast.*$
148,https://www.wsj.com/podcasts/latest/wsj-opinion-foreign-edition,^.*podcast.*$
147,https://www.wsj.com/podcasts/latest/wsj-opinion-potomac-watch,^.*podcast.*$
116,https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women,^.*podcast.*$
100,https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing,^.*podcast.*$
56,https://www.wsj.com/podcasts/latest/wsj-whats-news,^.*podcast.*$
115,https://www.wsj.com/podcasts/latest/wsj-your-money-matters,^.*podcast.*$
384,https://www.wsj.com/podcasts/sp-500-reaches-new-record-close/7D8102CE-A941-4F01-B4BE-15C09F926AB6.html,^.*podcast.*$
187,https://www.wsj.com/podcasts/sp-500-reaches-new-record-close/7D8102CE-A941-4F01-B4BE-15C09F926AB6.html?mod=error_page,^.*podcast.*$
372,https://www.wsj.com/podcasts/three-key-weeks-that-derailed-us-coronavirus-testing/E8F4EDE5-B6EF-4373-B256-4B9FBBEB7F0F.html,^.*podcast.*$
186,https://www.wsj.com/podcasts/three-key-weeks-that-derailed-us-coronavirus-testing/E8F4EDE5-B6EF-4373-B256-4B9FBBEB7F0F.html?mod=error_page,^.*podcast.*$
396,https://www.wsj.com/podcasts/when-back-to-work-collides-with-back-to-school/49F51E0C-B321-4F3B-B025-2028A84D71A3.html,^.*podcast.*$
188,https://www.wsj.com/podcasts/when-back-to-work-collides-with-back-to-school/49F51E0C-B321-4F3B-B025-2028A84D71A3.html?mod=error_page,^.*podcast.*$
207,https://www.wsj.com/podcasts?mod=wsjfooter,^.*podcast.*$
35,https://www.wsj.com/podcasts?mod=wsjheader,^.*podcast.*$
177,mailto:support@wsj.com,^mailto:.*$
32,#,diff domain
1,http://bigcharts.marketwatch.com,diff domain
15,http://www.bigdecisions.com/,diff domain
245,https://cdn.cxense.com/cx.cce.js,diff domain
244,https://cdn.cxense.com/cx.js,diff domain
10,https://djlogin.dowjones.com/login.asp?productname=rnc,diff domain
238,https://dowjones.com/cookie-notice/?mod=WSJ,diff domain
242,https://dowjones.com/cookie-notice?mod=WSJ#cookies-advertising,diff domain
237,https://dowjones.com/privacy-notice/?mod=WSJ,diff domain
4,https://global.factiva.com/factivalogin/login.asp?productname=global,diff domain
19,https://housing.com/,diff domain
343,https://images.wsj.net/im-218548?width=110&height=73,diff domain
344,https://images.wsj.net/im-218548?width=120&height=80,diff domain
337,https://images.wsj.net/im-218548?width=1242&height=810,diff domain
341,https://images.wsj.net/im-218548?width=1280&height=853,diff domain
328,https://images.wsj.net/im-218548?width=167&height=94,diff domain
327,https://images.wsj.net/im-218548?width=220&height=146,diff domain
326,https://images.wsj.net/im-218548?width=220&height=220,diff domain
330,https://images.wsj.net/im-218548?width=262&height=174,diff domain
329,https://images.wsj.net/im-218548?width=300&height=200,diff domain
332,https://images.wsj.net/im-218548?width=359&height=239,diff domain
345,https://images.wsj.net/im-218548?width=380&height=253,diff domain
342,https://images.wsj.net/im-218548?width=400&height=400,diff domain
331,https://images.wsj.net/im-218548?width=540&height=360,diff domain
336,https://images.wsj.net/im-218548?width=553&height=369,diff domain
334,https://images.wsj.net/im-218548?width=571&height=226,diff domain
333,https://images.wsj.net/im-218548?width=602&height=402,diff domain
347,https://images.wsj.net/im-218548?width=620&height=310,diff domain
349,https://images.wsj.net/im-218548?width=620&height=349,diff domain
348,https://images.wsj.net/im-218548?width=620&height=412,diff domain
335,https://images.wsj.net/im-218548?width=632&height=810,diff domain
338,https://images.wsj.net/im-218548?width=659&height=439,diff domain
346,https://images.wsj.net/im-218548?width=700&height=350,diff domain
325,https://images.wsj.net/im-218548?width=76&height=76,diff domain
340,https://images.wsj.net/im-218548?width=800&height=600,diff domain
339,https://images.wsj.net/im-218548?width=959&height=639,diff domain
293,https://images.wsj.net/im-221598?width=110&height=73,diff domain
294,https://images.wsj.net/im-221598?width=120&height=80,diff domain
287,https://images.wsj.net/im-221598?width=1242&height=810,diff domain
291,https://images.wsj.net/im-221598?width=1280&height=853,diff domain
278,https://images.wsj.net/im-221598?width=167&height=94,diff domain
277,https://images.wsj.net/im-221598?width=220&height=146,diff domain
276,https://images.wsj.net/im-221598?width=220&height=220,diff domain
280,https://images.wsj.net/im-221598?width=262&height=174,diff domain
279,https://images.wsj.net/im-221598?width=300&height=200,diff domain
282,https://images.wsj.net/im-221598?width=359&height=239,diff domain
295,https://images.wsj.net/im-221598?width=380&height=253,diff domain
292,https://images.wsj.net/im-221598?width=400&height=400,diff domain
281,https://images.wsj.net/im-221598?width=540&height=360,diff domain
286,https://images.wsj.net/im-221598?width=553&height=369,diff domain
284,https://images.wsj.net/im-221598?width=571&height=226,diff domain
283,https://images.wsj.net/im-221598?width=602&height=402,diff domain
297,https://images.wsj.net/im-221598?width=620&height=310,diff domain
299,https://images.wsj.net/im-221598?width=620&height=349,diff domain
298,https://images.wsj.net/im-221598?width=620&height=412,diff domain
285,https://images.wsj.net/im-221598?width=632&height=810,diff domain
288,https://images.wsj.net/im-221598?width=659&height=439,diff domain
296,https://images.wsj.net/im-221598?width=700&height=350,diff domain
275,https://images.wsj.net/im-221598?width=76&height=76,diff domain
290,https://images.wsj.net/im-221598?width=800&height=600,diff domain
289,https://images.wsj.net/im-221598?width=959&height=639,diff domain
318,https://images.wsj.net/im-222134?width=110&height=73,diff domain
319,https://images.wsj.net/im-222134?width=120&height=80,diff domain
312,https://images.wsj.net/im-222134?width=1242&height=810,diff domain
316,https://images.wsj.net/im-222134?width=1280&height=853,diff domain
303,https://images.wsj.net/im-222134?width=167&height=94,diff domain
302,https://images.wsj.net/im-222134?width=220&height=146,diff domain
301,https://images.wsj.net/im-222134?width=220&height=220,diff domain
305,https://images.wsj.net/im-222134?width=262&height=174,diff domain
304,https://images.wsj.net/im-222134?width=300&height=200,diff domain
307,https://images.wsj.net/im-222134?width=359&height=239,diff domain
320,https://images.wsj.net/im-222134?width=380&height=253,diff domain
317,https://images.wsj.net/im-222134?width=400&height=400,diff domain
306,https://images.wsj.net/im-222134?width=540&height=360,diff domain
311,https://images.wsj.net/im-222134?width=553&height=369,diff domain
309,https://images.wsj.net/im-222134?width=571&height=226,diff domain
308,https://images.wsj.net/im-222134?width=602&height=402,diff domain
322,https://images.wsj.net/im-222134?width=620&height=310,diff domain
324,https://images.wsj.net/im-222134?width=620&height=349,diff domain
323,https://images.wsj.net/im-222134?width=620&height=412,diff domain
310,https://images.wsj.net/im-222134?width=632&height=810,diff domain
313,https://images.wsj.net/im-222134?width=659&height=439,diff domain
321,https://images.wsj.net/im-222134?width=700&height=350,diff domain
300,https://images.wsj.net/im-222134?width=76&height=76,diff domain
315,https://images.wsj.net/im-222134?width=800&height=600,diff domain
314,https://images.wsj.net/im-222134?width=959&height=639,diff domain
373,https://images.wsj.net/im-29106?width=115&height=65,diff domain
374,https://images.wsj.net/im-29106?width=120&height=68,diff domain
381,https://images.wsj.net/im-29106?width=1280&height=720,diff domain
375,https://images.wsj.net/im-29106?width=167&height=94,diff domain
376,https://images.wsj.net/im-29106?width=198&height=112,diff domain
377,https://images.wsj.net/im-29106?width=480&height=270,diff domain
378,https://images.wsj.net/im-29106?width=512&height=288,diff domain
379,https://images.wsj.net/im-29106?width=640&height=360,diff domain
380,https://images.wsj.net/im-29106?width=960&height=540,diff domain
385,https://images.wsj.net/im-29128?width=115&height=65,diff domain
386,https://images.wsj.net/im-29128?width=120&height=68,diff domain
393,https://images.wsj.net/im-29128?width=1280&height=720,diff domain
387,https://images.wsj.net/im-29128?width=167&height=94,diff domain
