company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
corporations,"('000net', -4.755655720275676)","('earns', -4.8047306112167725)","('000share', -4.824613982222136)","('qtr', -4.877352725551788)","('otc', -5.389084536593135)","('net', -5.487791998700566)","('nyse', -5.661724201221252)","('quarter', -5.674175770208449)","('share', -5.838551103276261)","('corp', -5.912979129625538)"
"mergers, acquisitions and divestitures","('stock', -6.093919936020726)","('shares', -6.123950666753875)","('billion', -6.157042323691158)","('corporation', -6.157191026068793)","('deal', -6.328789692267242)","('companies', -6.366384433048674)","('share', -6.40665902516288)","('merger', -6.408063649136652)","('offer', -6.579924479463273)","('bid', -6.591090624719236)"
finances,"('billion', -6.190549377915456)","('stock', -6.29323010745439)","('market', -6.401785005162566)","('companies', -6.543223704319902)","('investors', -6.6151634951416645)","('shares', -6.666784643036603)","('financial', -6.679822199479233)","('budget', -6.704117688955225)","('bank', -6.7326431336057695)","('corporation', -6.751137741790088)"
stocks and bonds,"('stock', -5.755182522927024)","('market', -5.850956614151767)","('investors', -5.952440393347547)","('securities', -6.062796879219393)","('stocks', -6.072634176089932)","('bonds', -6.257229302511094)","('trading', -6.266410333168125)","('shares', -6.344572214053046)","('bond', -6.359077357275825)","('index', -6.380821023859221)"
politics and government,"('bush', -6.414590344642937)","('campaign', -6.483283595369173)","('party', -6.561424798853659)","('republican', -6.589440437371259)","('democratic', -6.611777740130982)","('election', -6.63482624126957)","('administration', -6.724908443557648)","('clinton', -6.776009641340261)","('military', -6.799468720527941)","('iraq', -6.861566584041656)"
united states politics and government,"('bush', -5.984832213560189)","('iraq', -6.412899678384392)","('clinton', -6.442053689538449)","('administration', -6.4533563145401756)","('campaign', -6.552584916341788)","('military', -6.593608689481095)","('republican', -6.634366006087883)","('democratic', -6.756831239124542)","('presidential', -6.775550459954142)","('senator', -6.825020896211148)"
athletics and sports,"('sports', -6.525821962267934)","('team', -6.729620790328084)","('game', -6.7751414953592475)","('league', -6.951013982033187)","('games', -6.998669990539749)","('coach', -7.026140933904592)","('players', -7.026508625892771)","('football', -7.074731061624127)","('basketball', -7.077999964695451)","('athletes', -7.089007368782484)"
books and literature,"('book', -5.960178617260756)","('books', -6.488263622022613)","('novel', -6.624365524847923)","('author', -6.779416085689288)","('95', -6.9154333288472)","('story', -6.921586195734415)","('writes', -7.0911612182787)","('writing', -7.115629338734344)","('writer', -7.204779317153809)","('editor', -7.208149387467433)"
suits and litigation,"('court', -5.921955088465175)","('lawsuit', -6.283500945962347)","('filed', -6.400932531052812)","('judge', -6.423399396108046)","('suit', -6.45387077779075)","('lawyers', -6.639307973560602)","('lawyer', -6.6771140685195505)","('legal', -6.766797446677201)","('settlement', -6.959113202268881)","('ruling', -6.969500181544038)"
credit,"('bank', -6.424312147498048)","('rates', -6.455887522767012)","('rate', -6.593671048263656)","('credit', -6.593727706506023)","('debt', -6.623348326016423)","('loans', -6.629770415182792)","('banks', -6.660169655884356)","('billion', -6.751120260564975)","('market', -6.8508354244554805)","('economy', -6.914234627958339)"
bridges and tunnels,"('bridge', -6.969373562666098)","('tunnel', -7.4910141894457745)","('bridges', -7.735799277397186)","('transportation', -7.939732738720687)","('traffic', -8.04282313172423)","('authority', -8.081877759468519)","('river', -8.341025652013395)","('tunnels', -8.39986834527813)","('jersey', -8.400084534467489)","('manhattan', -8.455685105305133)"
international relations,"('iraq', -6.0916334211097)","('military', -6.254665295961816)","('bush', -6.370386878891308)","('administration', -6.424069678576672)","('nations', -6.482873904438167)","('foreign', -6.5626905961066395)","('security', -6.631815487557785)","('minister', -6.756457867588576)","('troops', -6.760225121907165)","('iraqi', -6.801434303698418)"
hostages,"('hostages', -6.943679389499822)","('hostage', -7.2258341431040245)","('release', -7.871355796900458)","('lebanon', -7.8753018244367)","('iran', -8.000531950405405)","('beirut', -8.25370616160442)","('iranian', -8.256839399784987)","('released', -8.417648590876107)","('kidnappers', -8.43058701056751)","('police', -8.485421525160906)"
united states international relations,"('iraq', -6.014210413271071)","('military', -6.237945825728306)","('bush', -6.28783854618383)","('administration', -6.350789087096567)","('nations', -6.5943718779893485)","('security', -6.638863695888853)","('foreign', -6.657268850762622)","('iraqi', -6.729145636350806)","('troops', -6.764020796965188)","('secretary', -6.7948253245478405)"
kidnapping,"('kidnapping', -7.18259659652304)","('police', -7.603378452972066)","('kidnapped', -7.626026353260376)","('abducted', -8.012308133630803)","('abduction', -8.150224066616673)","('kidnappers', -8.176992007178852)","('ransom', -8.309167306527323)","('hostages', -8.408297304019369)","('killed', -8.453106359140948)","('arrested', -8.480301043599429)"
track and field,"('track', -6.761059771910053)","('meter', -6.976256865329375)","('meters', -7.020624171973772)","('field', -7.139938473758841)","('olympic', -7.181705291639505)","('championships', -7.424414222990691)","('seconds', -7.433457547424111)","('olympics', -7.5500049661032405)","('record', -7.552923760832514)","('athletes', -7.635876936640317)"
television,"('television', -5.865787343332295)","('network', -6.458217650514826)","('nbc', -6.506308282736885)","('cable', -6.577418418296568)","('cbs', -6.5880744267105875)","('abc', -6.616304664212348)","('viewers', -6.6194360597368895)","('tv', -6.741959370264539)","('channel', -6.763574943440699)","('broadcast', -6.789064151166463)"
judges,"('judge', -6.8747452851150594)","('court', -7.002510956915647)","('judges', -7.082244343346942)","('judicial', -7.227276089393111)","('justice', -7.446877226523536)","('supreme', -7.570624547338452)","('judiciary', -7.769930487793554)","('appeals', -7.90613810936248)","('senate', -7.980014652863642)","('courts', -8.01119379680815)"
wages and salaries,"('pay', -6.693079908625141)","('workers', -6.786500696839226)","('salary', -6.874926945761954)","('wage', -6.929113799882359)","('union', -7.042843606930753)","('labor', -7.072671966875192)","('salaries', -7.140539960393922)","('wages', -7.193936850972933)","('contract', -7.243864981606137)","('employees', -7.285137801768514)"
courts,"('court', -6.426212545231023)","('judge', -6.646363917654959)","('judges', -6.806569851718715)","('judicial', -6.9672409398903685)","('justice', -6.99331209633946)","('supreme', -7.0862217727449)","('courts', -7.239565849547534)","('lawyers', -7.472638706927718)","('appeals', -7.4902223540257244)","('cases', -7.5091680036811965)"
conventions and conferences,"('convention', -6.79552292167619)","('summit', -7.394974870260665)","('bush', -7.597364760093304)","('meeting', -7.609957095427131)","('republican', -7.713737350989188)","('party', -7.8107259474886215)","('delegates', -7.834345634431447)","('soviet', -7.8352646113301)","('democratic', -7.841236188496547)","('gorbachev', -7.8896083220044515)"
international trade and world market,"('trade', -6.007166917450295)","('exports', -6.676679952685099)","('countries', -6.712786455588193)","('japan', -6.792537283770543)","('foreign', -6.81700615526098)","('oil', -6.817267038600528)","('imports', -6.818920145486613)","('economic', -6.897339340297306)","('china', -6.911221862858942)","('sanctions', -6.9313284775172885)"
smuggling,"('smuggling', -7.800824310803445)","('smugglers', -8.537921908554232)","('illegal', -8.784255768787713)","('drug', -8.826024846201262)","('smuggled', -8.865298453832805)","('customs', -8.910403352350174)","('arrested', -8.94218641896805)","('border', -8.978322143306132)","('cocaine', -9.006983647869653)","('authorities', -9.020527267578792)"
