company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
corporations,"('amex', -5.381051275273089)","('discontinued', -5.785911094214568)","('b1', -5.969230019305666)","('01', -5.995667447520005)","('02', -6.116071678185362)","('03', -6.186236875907039)","('respectively', -6.193771132493852)","('05', -6.270400685453759)","('04', -6.271211985693221)","('06', -6.288472870865655)","('07', -6.32622721803227)","('08', -6.356354202804785)","('b2', -6.410061435059265)","('09', -6.4381551219828115)","('bancorp', -6.573647706653653)","('restated', -6.601915107152686)","('credits', -6.677580508807146)","('b3', -6.793740084432559)","('pretax', -6.907257642519617)","('b4', -6.982334370873683)"
stocks and bonds,"('dow', -5.8635626153219125)","('traders', -5.974373389485152)","('nasdaq', -6.1410779200443715)","('yields', -6.1455497329195365)","('merrill', -6.338853795645515)","('portfolio', -6.411431499345978)","('brokerage', -6.426033199139628)","('moody', -6.512512617199219)","('investing', -6.555130542422775)","('underwriters', -6.579274542522592)","('composite', -6.590705421370745)","('goldman', -6.649727704650166)","('salomon', -6.7062696796851675)","('institutional', -6.7095350882429114)","('nikkei', -6.733451756359767)","('sachs', -6.738283521906581)","('exempt', -6.786191549028396)","('futures', -6.832007342261589)","('maturity', -6.83987841990048)","('trades', -6.867469259731446)"
finances,"('treas', -6.515028662516175)","('traders', -6.800883086841318)","('dow', -6.817721503700031)","('takeover', -6.821599113291616)","('00', -6.840979457405182)","('salomon', -6.875727071922758)","('mo', -6.903329246582355)","('mortgage', -6.955299457710178)","('regulators', -6.9571071685193715)","('futures', -7.060758339599523)","('merrill', -7.0772483398001595)","('nasdaq', -7.092567618510238)","('bankers', -7.112471672163225)","('medicare', -7.125807570259567)","('pension', -7.159695666793228)","('yields', -7.1736106400043465)","('brokerage', -7.179658505697753)","('portfolio', -7.196021041617843)","('transaction', -7.221564505103715)","('investing', -7.267620226757839)"
"mergers, acquisitions and divestitures","('takeover', -5.730362654289756)","('transaction', -6.330000781294832)","('buyout', -6.506452870135005)","('acquisitions', -6.555141204119613)","('shareholder', -6.596723210710721)","('mergers', -6.6564723804385615)","('merge', -6.785643079393664)","('filing', -6.806430571894957)","('hostile', -6.826908902183206)","('valued', -6.8351709286633024)","('regulators', -6.871469857144152)","('acquiring', -6.874374564304677)","('antitrust', -7.006416903237527)","('telecommunications', -7.00894349762618)","('merged', -7.047392988017024)","('leveraged', -7.124530283955822)","('bidding', -7.157668871217582)","('consolidation', -7.166932288418744)","('bankers', -7.169709030588216)","('regulatory', -7.218910997183157)"
politics and government,"('gore', -6.913675429167476)","('saddam', -7.160964644081576)","('dole', -7.212548751514401)","('afghanistan', -7.2723564908187)","('ballot', -7.281679311070152)","('baghdad', -7.303560155160084)","('sanctions', -7.322391752470314)","('nato', -7.337935060586014)","('treaty', -7.351590359555952)","('kerry', -7.408046583245553)","('palestinians', -7.4397836819370475)","('gorbachev', -7.467917441560604)","('abortion', -7.480150273921619)","('voter', -7.499559560665495)","('pataki', -7.49958444559816)","('electoral', -7.525340331994215)","('conservatives', -7.562283145644087)","('cuomo', -7.566435256572832)","('iraqis', -7.5877452631175)","('dukakis', -7.592014843143601)"
united states politics and government,"('gore', -6.406033356764875)","('saddam', -6.682709309319249)","('dole', -6.762396706333148)","('baghdad', -6.853059479371209)","('kerry', -6.863987788648253)","('afghanistan', -6.889083002100488)","('nato', -6.981375591752793)","('dukakis', -7.066984438918412)","('iraqis', -7.103107955187517)","('sanctions', -7.14432989053783)","('cheney', -7.245685290268087)","('missiles', -7.289869123356362)","('palestinians', -7.305928313910844)","('powell', -7.308885586392147)","('treaty', -7.31296122269695)","('missile', -7.320330478353235)","('mccain', -7.337987741503565)","('embassy', -7.350583752420658)","('hampshire', -7.361583972826305)","('terrorists', -7.372658479193968)"
athletics and sports,"('athletes', -6.208926756057282)","('soccer', -6.434269084568758)","('athlete', -7.154050348921541)","('olympics', -7.210607102938976)","('seeded', -7.220423131569578)","('championships', -7.266197396903395)","('athletics', -7.322296362989041)","('outfielder', -7.480766696304175)","('collegiate', -7.526659927568641)","('matches', -7.579661232237407)","('colleges', -7.590223617283978)","('medal', -7.595328399470978)","('par', -7.628422746163776)","('sox', -7.646705953158447)","('knicks', -7.695834630705316)","('rangers', -7.710725799550579)","('leagues', -7.71812141471458)","('finals', -7.727415631506095)","('espn', -7.7827047610316935)","('receiver', -7.802562033879388)"
books and literature,"('pp', -6.572600767192637)","('novels', -6.877841223363657)","('authors', -7.001990911750287)","('biography', -7.1425879160824355)","('publishers', -7.172598935992977)","('poetry', -7.176934670707346)","('narrative', -7.188096394382043)","('memoir', -7.2357982060241675)","('poet', -7.255179953954809)","('prose', -7.334965267916688)","('novelist', -7.394625655242427)","('poems', -7.509814059796138)","('narrator', -7.582474497080562)","('essays', -7.599879351836483)","('knopf', -7.60852987287888)","('schuster', -7.6173403275337925)","('nonfiction', -7.6493024835362675)","('essay', -7.666203295832321)","('tales', -7.785369894001667)","('poem', -7.799240810458152)"
suits and litigation,"('lawsuits', -6.184501373114512)","('damages', -6.204471504422047)","('plaintiffs', -6.2394494804028175)","('sued', -6.283043323227661)","('litigation', -6.613291317908902)","('sue', -6.909123419794807)","('discrimination', -6.974565523297957)","('defendants', -6.975200821475735)","('liability', -7.019761383044772)","('plaintiff', -7.084618458000084)","('microsoft', -7.10304075555444)","('antitrust', -7.124928424087733)","('filing', -7.180938453050977)","('tobacco', -7.186570443497062)","('contends', -7.195347803785151)","('suing', -7.2057363769629434)","('contended', -7.3123999615141315)","('upheld', -7.346160585598421)","('justices', -7.35909769695856)","('injunction', -7.370712368725261)"
credit,"('monetary', -6.223318441486341)","('lending', -6.4341745390764675)","('greenspan', -6.551975691449548)","('bankers', -6.7511533698559925)","('traders', -6.790706662877059)","('lenders', -6.847630528512773)","('creditors', -6.8629194996852165)","('yields', -6.962858996649379)","('borrowing', -7.022058805491774)","('debts', -7.0343213311744295)","('moody', -7.06678374572747)","('mortgage', -7.076124717863182)","('yen', -7.093281832719184)","('unchanged', -7.158111995236569)","('brazil', -7.1922976146258435)","('borrowers', -7.211535451003469)","('benchmark', -7.2154344100710155)","('reserves', -7.328202328065524)","('euro', -7.332148337453599)","('inflationary', -7.372061994464224)"
