Code,"ID (NYT, cartogram)",Show it?,Tag it?,Official name,Lowercase name,Parents,Popularity,tag0,tag1,tag2,tag3,tag4,tag5,tag6,Part of,Code,Comment,Search string
news,,1,0,News,news,0,1.00000,,,,,,,,,aa,,
world,,1,0,World,world,1,0.55336,news,,,,,,,,Aa,,
americas,,1,0,Americas,Americas,2,0.10497,news,world,,,,,,,Ab,,
north_america,,1,0,North America,North America,3,0.05489,news,world,americas,,,,,,Ac,,
CAN,40,1,1,Canada,Canada,4,0.02800,news,world,americas,north_america,,,,,Ad,,ashmore
USA,228,1,1,United States of America,United States of America,4,0.00280,news,world,americas,north_america,,,,,Ae,,"""United States"" or USA or ""U.S.A."" or ""the US"""
MEX,135,1,1,Mexico,Mexico,4,0.02833,news,world,americas,north_america,,,,,Af,,Mexico
central_america,,1,0,Central America,Central America,3,0.01021,news,world,americas,,,,,,Ag,,
HND,92,1,1,Honduras,Honduras,4,0.00216,news,world,americas,central_america,,,,,Ah,,Honduras
GTM,85,1,1,Guatemala,Guatemala,4,0.00339,news,world,americas,central_america,,,,,Ai,,Guatemala
BLZ,23,1,1,Belize,Belize,4,0.00036,news,world,americas,central_america,,,,,Aj,,Belize
SLV,64,1,1,El Salvador,El Salvador,4,0.00263,news,world,americas,central_america,,,,,Ak,,"""El Salvador"""
CRI,50,1,1,Costa Rica,Costa Rica,4,0.00103,news,world,americas,central_america,,,,,Al,,"""Costa Rica"""
NIC,153,1,1,Nicaragua,Nicaragua,4,0.00192,news,world,americas,central_america,,,,,Am,,Nicaragua
PAN,164,1,1,Panama,Panama,4,0.00244,news,world,americas,central_america,,,,,An,,Panama
caribbean,,1,0,Caribbean,Caribbean,3,0.02097,news,world,americas,,,,,,Ao,,
BLM,200,0,1,St-Barthelemy,St-Barthelemy,4,0.00002,news,world,americas,caribbean,FRA,,,FRA,Ap,10000 people,"""St-Barthelemy"" OR ""Saint Barthelemy"" OR ""saint barths"" OR ""saint barts"""
MAF,201,0,1,Collectivity of St-Martin,Collectivity of St-Martin,4,0.00002,news,world,americas,caribbean,FRA,,,FRA,Aq,36000 people,"""collectivity of st-martin"" OR ""collectivity of saint-martin"""
SPM,203,0,1,St. Pierre and Miquelon,St. Pierre and Miquelon,4,0.00002,news,world,americas,caribbean,FRA,,,FRA,Ar,6000,"""Pierre and Miquelon"" "
TCA,222,0,1,Turks and Caicos Islands,Turks and Caicos Islands,4,0.00004,news,world,americas,caribbean,GBR,,,GBR,As,31000 people,"""Turks and Caicos Islands"""
SXM,190,0,1,Sint Maarten,Sint Maarten,4,0.00006,news,world,americas,caribbean,NLD,,,NLD,At,40000 people,"""sint maarten"""
ABW,12,1,1,Aruba,Aruba,4,0.00023,news,world,americas,caribbean,,,,,Au,,"""aruba"" NOT ""networks"""
BHS,17,1,1,Bahamas,Bahamas,4,0.00150,news,world,americas,caribbean,,,,,Av,,Bahamas
BRB,20,1,1,Barbados,Barbados,4,0.00057,news,world,americas,caribbean,,,,,Aw,,Barbados
BMU,25,1,1,Bermuda,Bermuda,4,0.00049,news,world,americas,caribbean,,,,,Ax,,Bermuda
CUB,52,1,1,Cuba,Cuba,4,0.00793,news,world,americas,caribbean,,,,,Ay,,Cuba
DMA,60,1,1,Dominica,Dominica,4,0.00154,news,world,americas,caribbean,,,,,Az,,"""dominica"" NOT ""dominican republic"""
DOM,61,1,1,Dominican Republic,Dominican Republic,4,0.00095,news,world,americas,caribbean,,,,,Ba,,"""dominican republic"""
GRD,83,1,1,Grenada,Grenada,4,0.00026,news,world,americas,caribbean,,,,,Bb,,Grenada
HTI,90,1,1,Haiti,Haiti,4,0.00257,news,world,americas,caribbean,,,,,Bc,,Haiti
JAM,105,1,1,Jamaica,Jamaica,4,0.00235,news,world,americas,caribbean,,,,,Bd,,Jamaica
PRI,172,1,1,Puerto Rico,Puerto Rico,4,0.00515,news,world,americas,caribbean,USA,,,USA,Be,,"""puerto rico"""
LCA,180,1,1,Saint Lucia,Saint Lucia,4,0.00009,news,world,americas,caribbean,,,,,Bf,,"""saint lucia"""
VCT,204,1,1,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4,0.00006,news,world,americas,caribbean,,,,,Bg,,"""saint lucia"""
KNA,202,1,1,St. Kitts and Nevis,St. Kitts and Nevis,4,0.00004,news,world,americas,caribbean,,,,,Bh,,"""Kitts and Nevis"" "
